tqwt_minValue_dec_18,tqwt_entropy_log_dec_34,tqwt_meanValue_dec_11,tqwt_entropy_shannon_dec_16,tqwt_entropy_log_dec_35,tqwt_entropy_log_dec_14,tqwt_entropy_log_dec_26,tqwt_stdValue_dec_17,tqwt_minValue_dec_14,tqwt_entropy_log_dec_11,tqwt_entropy_log_dec_28,tqwt_maxValue_dec_16,tqwt_entropy_log_dec_32,tqwt_entropy_log_dec_12,tqwt_entropy_log_dec_13,tqwt_minValue_dec_15,tqwt_meanValue_dec_5,tqwt_entropy_log_dec_10,tqwt_kurtosisValue_dec_36,tqwt_energy_dec_17,tqwt_entropy_shannon_dec_20,tqwt_meanValue_dec_7,tqwt_stdValue_dec_16,tqwt_maxValue_dec_15,tqwt_entropy_shannon_dec_15,tqwt_maxValue_dec_18,tqwt_meanValue_dec_34,tqwt_maxValue_dec_17,tqwt_stdValue_dec_15,tqwt_maxValue_dec_14,tqwt_entropy_log_dec_33,tqwt_minValue_dec_16,mean_MFCC_3rd_coef,GNE_SNR_SEO,VFER_NSR_SEO,mean_MFCC_4th_coef,mean_MFCC_9th_coef,mean_MFCC_8th_coef,mean_MFCC_7th_coef,std_MFCC_10th_coef,mean_MFCC_2nd_coef,IMF_NSR_entropy,mean_MFCC_6th_coef,mean_MFCC_5th_coef,std_MFCC_9th_coef,class
-0.45961,-3820.4723,1.9e-20,683.3022,-3233.3176,-50571.3488,-13360.0213,0.26217,-0.46697,-228867.7004,-7568.6086,0.41289,-5095.6531,-130314.5034,-76138.9219,-0.44238,-4.83e-21,-248400.6524,2.6381,0.20211,211.35,-2.03e-20,0.16973,0.45197,647.4475,0.45961,1.76e-20,0.54419,0.14906,0.45868,-4274.7929,-0.41289,-2.0275,1333792.265,1.4238,-1.4786,-1.4838,1.5187,0.12373,0.299,0.81669,0.12814,-2.5354,-0.6259,0.3344,1.0
-0.57583,-3672.3149,-1.32e-20,1173.6485,-3241.2701,-46659.0362,-13871.2488,0.37185,-0.5352,-223005.8719,-7584.5798,0.60754,-5063.0473,-119920.305,-69665.4751,-0.57177,6.12e-23,-256646.7576,26.9617,0.31472,200.3955,-7.8e-21,0.26029,0.57824,740.7463,0.57583,0.0,0.8052,0.16877,0.52525,-4338.1476,-0.60754,-2.7049,1747991.318,1.318,-2.0298,-0.95541,1.5218,0.3648,0.19192,0.7111,0.15086,-2.3347,-1.3457,0.34364,1.0
-0.061831,-4095.7981,1e-20,15.0687,-3595.3165,-105883.4813,-13599.9427,0.019835,-0.060501,-270946.3548,-10169.9268,0.058152,-5024.0618,-202358.5432,-142100.6207,-0.065197,7.04e-22,-316121.6034,73.348,0.029259,9.0784,-1.32e-22,0.016248,0.061039,18.555,0.067925,2.2700000000000004e-21,0.060552,0.016552,0.0704,-4328.0752,-0.058152,-2.0113,1582786.751,1.1749,-1.0458,-1.0169,0.68748,-0.23263,0.25388,3.1396,0.18682,-1.1977,0.16759,0.24943,1.0
-0.094045,-3865.7732,-5.3e-21,31.189,-3444.0081,-85842.1044,-12856.496,0.031757,-0.10157,-263838.7457,-10163.105,0.086816,-4366.3544,-179877.7124,-119083.1503,-0.10425,3.06e-23,-317176.8134,51.6875,0.042679,18.1734,-4.58e-21,0.024835,0.10734,62.3305,0.094045,1.52e-20,0.10662,0.033365,0.10651,-3926.3371,-0.086816,-1.7587,1345257.73,1.2401,-2.2904,-1.3072,0.73882,-0.22014,0.20797,3.0062,0.18136,-1.072,0.5178,0.23997,1.0
-0.12216,-3773.5532,-1.23e-20,37.9129,-3417.1636,-95125.7694,-13927.4619,0.035806,-0.076488,-274236.3595,-9932.3326,0.10593,-4638.6558,-190145.8142,-129201.472,-0.10175,-1.22e-22,-338359.9766,66.2652,0.054485,15.7305,-2.2200000000000002e-21,0.027918,0.097035,37.8686,0.12216,-2.12e-20,0.15341,0.025187,0.077302,-4145.9287,-0.10593,-1.8396,1669174.207,1.2113,-2.5196,-1.1697,0.42153,0.18847,0.28338,3.8325,0.17821,-1.5939,0.49,0.24057,1.0
-1.6358,-4037.5865,0.0,1276.0455,-3321.0018,-43846.0425,-3264.7481,0.52926,-0.58566,-172544.6363,-9806.3966,0.79065,-5857.084,-160088.3573,-81589.5628,-0.76978,0.0,-196527.3145,95.4826,0.15042,899.5423,2.47e-20,0.3091,0.65999,1796.831,1.6358,-1.88e-19,1.0698,0.3285,0.4462,-4862.9374,-0.79065,-0.72286,1658428.668,1.3696,-1.7518,0.0056289,1.4283,-1.1952,0.18723,1.6047,0.19008,-2.9687,-0.48544,0.26389,1.0
-1.8075,-4001.3696,-1.04e-19,1157.043,-3361.4122,-52454.7502,-3809.7394,0.46233,-0.37159,-165126.1769,-7855.9673,0.71637,-5377.1549,-155256.0038,-89342.3634,-0.67939,9.179999999999999e-23,-189363.0042,36.1932,0.12063,802.002,2.12e-20,0.27971,0.65423,1443.0182,1.8075,7.58e-20,0.97891,0.26831,0.3908,-4534.215,-0.71637,-0.99284,1731942.346,1.3761,-0.99756,-0.22861,1.0557,-0.74146,0.15253,0.72048,0.19805,-2.8914,-0.88049,0.23825,1.0
-1.5745,-4002.4309,7.89e-20,1172.9282,-3399.7489,-56400.5088,-3895.2817,0.41728,-0.26205,-168870.8899,-5146.6815,0.60934,-5425.2728,-162142.6197,-95793.8931,-0.50996,2.45e-22,-203830.5398,90.0073,0.094244,765.2868,-8.99e-21,0.2688,0.50713,1157.2948,1.5745,2.43e-19,0.90976,0.22489,0.2871,-4757.9292,-0.60934,-0.76915,1363345.827,1.3151,-0.77755,0.43487,0.80106,-0.9714,0.17066,1.4756,0.22904,-2.9155,-1.1332,0.18934,1.0
-1.263,-2314.1312,-1.1e-20,1072.2504,-1942.6818,-54786.6706,-1928.8476,0.43364,-0.54042,-190274.549,-5977.6738,0.83962,-3634.0624,-131842.9335,-80196.2018,-0.75936,-8.080000000000001e-21,-210181.7683,4.1109,0.20268,404.6962,2.11e-21,0.26091,0.76489,858.5983,1.2302,8.25e-19,1.1129,0.19959,0.53446,-2962.9007,-0.87391,-0.50685,1933826.091,1.2529,-1.034,0.82021,1.4985,-0.41223,0.31555,1.1404,0.16788,-1.2538,-0.62675,0.31897,1.0
-1.2717,-1758.081,-2.05e-20,755.1587,-1562.1811,-58061.2827,-934.1281,0.34491,-0.54891,-195373.5527,-6350.3851,0.75032,-3077.1599,-141544.2696,-87935.5914,-0.68262,-1.99e-20,-210930.5049,3.8571,0.12596,465.7592,1.52e-20,0.20652,0.65055,683.9512,1.2229,2.18e-19,1.0669,0.16983,0.52758,-2250.7059,-0.74214,-0.30496,2218999.261,1.1719,-0.41464,0.87948,1.5803,-0.43204,0.28027,1.3162,0.20006,-0.80136,-0.90073,0.24248,1.0
-1.2349,-2500.1626,-3.43e-20,1131.4091,-2164.4239,-59272.9722,-2687.2851,0.44848,-0.37944,-179073.6868,-8184.0043,0.78903,-4129.2209,-143092.6401,-89932.1531,-0.57574,-1.8e-21,-195129.5525,3.0272,0.27032,304.7567,-1.35e-20,0.27111,0.559,656.9798,1.2437,3.7e-19,1.1475,0.15978,0.38685,-3236.7867,-0.7761,-0.66248,2179452.108,1.2225,-0.81113,1.234,1.5678,-1.0357,0.25292,0.45448,0.18063,-1.3711,-0.91019,0.20548,1.0
-0.40116,-2876.2294,1.21e-19,848.7987,-2412.1762,-57273.1186,-6618.6504,0.17416,-0.93089,-181134.7855,-7270.3224,0.92737,-3456.3139,-120660.7232,-82115.5273,-0.95092,2.35e-20,-206300.3968,3.8795,0.054844,280.692,4.97e-20,0.24405,1.1426,1016.9497,0.39288,7.28e-20,0.60947,0.25447,0.98752,-2968.0158,-0.92008,3.0083,1110514.977,1.2211,-0.86812,-0.36397,0.075968,1.6874,0.20787,1.4909,0.17423,-0.319,-0.62589,0.2255,1.0
-0.53628,-2249.0694,-1.3e-19,911.5319,-1799.2464,-62155.3784,-6654.0426,0.21105,-0.71201,-178219.5339,-6811.5961,0.94349,-3440.3922,-123612.7346,-86593.2637,-0.76913,-1.69e-20,-206063.5148,5.0704,0.074528,509.147,5.14e-20,0.24229,0.82611,898.4658,0.54483,4.37e-19,0.7115,0.20427,0.69139,-2856.7938,-0.89522,1.9919,1796323.599,1.2642,-1.9116,-0.5831,0.081758,1.1016,0.23628,1.2594,0.16374,0.23323,-1.3788,0.24879,1.0
-0.5581,-2216.6874,-1.07e-19,752.6508,-1923.5239,-58442.1731,-6808.3418,0.19946,-0.95613,-169777.9407,-5716.3934,0.90336,-3148.7728,-117750.6387,-80100.7218,-0.89854,-1.14e-20,-193147.8331,5.2507,0.072332,342.3638,-1.62e-20,0.21767,0.9239,796.5541,0.57069,7.16e-19,0.70432,0.19944,0.87756,-2682.5748,-0.89656,2.2096,1827286.714,1.2796,-1.2621,-0.45646,0.39812,1.4846,0.17768,1.2099,0.16036,0.01602,-1.1625,0.23133,1.0
-1.6459,-3368.2931,-9.79e-20,899.8528,-2805.2843,-41516.0464,-807.2327,0.48439,-0.69216,-148017.2261,-2693.5399,0.63849,-4681.0521,-96444.8052,-57133.9668,-0.63033,2.45e-22,-201469.0248,91.769,0.12215,756.438,-1.13e-20,0.21698,0.57157,731.8167,1.6459,2.43e-19,1.0637,0.16847,0.73913,-3922.2129,-0.63849,-1.7211,1555852.562,1.3214,-0.19772,-0.10371,0.31799,-0.15936,0.32932,1.0426,0.19453,-0.54426,0.039771,0.23721,1.0
-1.9137,-3688.8884,2.63e-19,1020.6675,-3162.5305,-29362.3713,-2215.6744,0.56282,-0.90103,-129564.4538,-6566.6159,0.89628,-5148.1852,-85682.0169,-46065.2893,-0.73159,-4.89e-22,-174847.954,9.0822,0.1209,599.5949,-4.23e-20,0.24788,0.67147,1379.4513,1.9137,7.89e-20,1.3285,0.27529,0.93619,-4438.4344,-0.89628,-2.0757,1770282.403,1.3067,-0.92052,-0.12041,0.027319,-0.39805,0.27835,0.18971,0.16345,-1.1305,0.024052,0.27468,1.0
-1.9031,-3800.4002,-2.15e-19,986.0332,-3230.8607,-34881.7774,-1870.3153,0.54996,-0.83659,-130822.2257,-7326.6653,0.69054,-5246.9649,-88686.6302,-50767.2896,-0.60854,1.2e-20,-176788.5372,72.6508,0.1363,454.2216,-3.45e-20,0.24295,0.6253,1043.4278,1.9031,1.03e-19,1.2166,0.21776,0.83659,-4463.661,-0.69054,-2.0148,1876014.433,1.2834,-0.25183,-0.3844,0.54048,-0.28884,0.23096,-0.69319,0.13959,-1.4919,0.20816,0.21716,1.0
-1.3782,-3790.6375,1.63e-20,1107.3282,-3214.6285,-68172.3743,-4760.9166,0.45319,-0.22975,-221507.5455,-7610.2649,0.71037,-4845.2693,-170641.4603,-105635.9546,-0.37774,-2.14e-22,-257517.9342,82.9636,0.32036,279.1614,-2.11e-21,0.25907,0.37384,601.9987,1.3782,4.25e-20,1.3296,0.14185,0.22133,-4276.1395,-0.71037,-0.88695,1740469.397,1.2876,-2.3027,0.66879,0.11701,0.64539,0.1783,3.2723,0.18479,-2.9225,-1.2681,0.17059,1.0
-1.6378,-3613.8776,4.38e-20,1273.5817,-3207.0914,-71686.7018,-4118.7587,0.5875,-0.30655,-206937.8736,-7589.2676,0.85959,-4626.5547,-152220.0216,-101777.7427,-0.42124,-2.45e-22,-247645.308,81.9456,0.33416,434.5705,-5.92e-20,0.30038,0.54494,467.1564,1.6378,7.28e-20,1.5443,0.11611,0.45978,-4207.8558,-0.85959,-0.79222,1302566.281,1.2806,-1.9128,0.031229,0.19546,0.0019819,0.21631,2.9799,0.1746,-2.3348,-1.3332,0.16888,1.0
-1.1138,-3712.9487,-2.85e-20,1193.4059,-3130.5941,-65048.7221,-4810.4241,0.4625,-0.32509,-221467.4498,-7434.3982,0.72036,-4530.977,-165748.1629,-101703.2245,-0.50446,-1.22e-22,-259915.4177,38.9834,0.30902,298.071,-2.96e-20,0.27861,0.50753,731.7364,1.1138,-3.49e-20,1.0854,0.16605,0.33065,-4197.3908,-0.72036,-1.2067,1660437.787,1.2592,-1.883,0.58156,-0.073581,0.92409,0.19122,2.7498,0.19447,-2.3194,-2.0219,0.17488,1.0
-0.19897,-4298.7564,-1.8300000000000003e-21,25.0206,-3687.36,-130583.1425,-9757.0794,0.034182,-0.024367,-278203.605,-5112.1635,0.082264,-5782.5853,-261249.66,-194369.7696,-0.056368,0.0,-321825.5936,3.8043,0.080045,51.226,1.43e-21,0.02207,0.055761,14.0618,0.19897,1.88e-20,0.13087,0.014206,0.023634,-4904.554,-0.082264,-0.35011,474091.1227,1.182,0.93677,1.3139,1.4231,-1.4172,0.32343,2.2431,0.15081,-2.8153,-0.8563,0.34009,1.0
-0.2319,-4683.7863,7.92e-21,54.784,-3949.6415,-131003.0761,-9072.5271,0.048735,-0.023386,-299371.261,-7169.2147,0.13065,-6049.7004,-272500.3902,-202822.9214,-0.069527,-1.9099999999999997e-24,-338026.2994,15.3447,0.098566,120.1143,-5.640000000000001e-22,0.034693,0.071513,20.0239,0.2319,-3.79e-22,0.15677,0.017371,0.024578,-5152.5954,-0.13065,-0.67505,921917.5999,1.1958,0.19772,1.1839,1.1559,-1.8479,0.33796,3.1951,0.10887,-3.2328,-1.4312,0.26292,1.0
-0.18343,-4787.9047,-2.19e-21,38.1474,-4174.8714,-125426.1299,-12143.341,0.038338,-0.033622,-276491.8936,-8362.9323,0.12581,-6179.1058,-268894.5838,-191637.4974,-0.075637,-4.5899999999999996e-23,-303199.6663,32.4038,0.10288,70.4313,-4.85e-22,0.02853,0.077235,22.9142,0.18343,-7.58e-22,0.12324,0.019075,0.030196,-5402.1879,-0.12581,-0.98671,788009.8375,1.2037,0.32703,1.1349,1.2059,-2.0486,0.36987,1.7388,0.12861,-3.5045,-1.3998,0.35878,1.0
-1.0913,-2044.4926,-2.85e-19,464.0246,-1596.5095,-51363.4628,-5571.7964,0.2706,-0.44286,-141883.0437,-8656.0437,0.44071,-2922.2306,-133022.4002,-82106.2959,-0.47579,7.770000000000001e-21,-167720.5007,6.2012,0.087317,454.3509,-1.1500000000000002e-21,0.13688,0.48953,878.4841,1.0589,-5.82e-19,0.65175,0.18213,0.43834,-2474.7256,-0.42647,-1.6492,1370539.628,1.3256,-1.1908,0.16247,0.94685,-1.2169,0.27621,0.92812,0.17931,-2.2551,0.73504,0.22126,0.0
-1.0838,-2195.1431,-7.27e-20,443.5807,-1748.7514,-60639.9558,-6189.2141,0.26113,-0.35647,-142688.9102,-9184.9228,0.415,-3427.3103,-142269.7298,-92113.5169,-0.3826,3.9800000000000006e-21,-168510.6629,5.3617,0.10003,417.9541,-1.54e-21,0.13172,0.39326,573.7312,1.1052,4.25e-20,0.65002,0.13647,0.31271,-2711.4589,-0.40204,-0.54978,1693327.298,1.3528,-1.5476,0.91054,0.8656,-1.8423,0.36293,-0.12565,0.16142,-1.9683,-0.053167,0.39824,0.0
-1.1524,-2604.5534,9.96e-20,618.1723,-2202.2773,-64012.5403,-4839.5238,0.28426,-0.38167,-149699.7997,-9465.4967,0.49648,-3502.6442,-144321.5477,-91969.3106,-0.40883,-3.9200000000000006e-21,-174034.7615,4.2463,0.11755,528.2273,-3.4800000000000006e-21,0.16575,0.44432,546.6241,1.1688,1.21e-19,0.82228,0.1348,0.36909,-2993.1688,-0.52398,-0.17878,1451112.198,1.3018,-1.2222,1.0124,0.72215,-1.8349,0.18478,0.13828,0.18562,-1.6696,-0.54687,0.42838,0.0
-0.64263,-1942.0822,-3.29e-20,1071.8667,-1751.1884,-65688.4183,-994.0926,0.2237,-0.494,-195103.5842,-2594.5923,0.89948,-2620.2035,-160438.389,-103208.2608,-0.84535,1.84e-22,-230229.6718,4.8342,0.065523,292.3409,1.02e-20,0.26436,0.72688,907.6941,0.61503,-2.43e-19,0.77762,0.19681,0.50068,-2378.3168,-1.0039,1.0394,1950179.961,1.1972,-1.0148,1.0642,1.3377,0.63757,0.31693,0.96335,0.22573,-0.86676,-0.41845,0.25925,1.0
-0.69515,-2032.7838,4.16e-20,1208.2135,-1847.7044,-64170.2083,-451.2308,0.29418,-0.54243,-191422.8996,-2591.3762,1.0311,-2792.6382,-156867.9748,-100779.1763,-0.89622,1.88e-20,-216389.5223,3.5844,0.077768,312.3778,8.810000000000001e-21,0.31907,0.98617,1023.1764,0.72751,-4.85e-19,0.93087,0.23279,0.51484,-2577.0307,-1.043,0.89372,1782870.302,1.2721,-1.0168,0.94483,2.0072,0.61079,0.21763,1.2571,0.22231,-1.2428,-0.19143,0.23047,1.0
-0.61741,-2491.8388,5.110000000000001e-21,1317.3006,-2177.7598,-55862.9467,-1653.2598,0.24725,-0.76174,-215723.3697,-3809.7678,1.0258,-3191.3592,-140967.4808,-88082.2807,-1.0108,-4.89e-22,-239915.8706,2.9688,0.082892,269.3084,3.14e-20,0.33685,1.0161,1268.9274,0.5894,6.31e-19,0.78871,0.29283,0.71756,-2996.3484,-1.1115,0.80291,1732494.937,1.2193,-2.0082,0.27346,2.1867,1.4095,0.22003,1.0681,0.18892,-1.1462,-0.93807,0.222,1.0
-0.85289,-2822.5121,1.25e-19,906.3878,-2237.4435,-53147.666,-2400.7861,0.25667,-0.30103,-166046.0722,-9842.9273,0.62889,-3827.0036,-156045.3244,-94682.2282,-0.54898,-2.37e-20,-206323.2091,5.9725,0.072958,550.4265,-5.29e-20,0.22416,0.53439,1223.3636,0.84229,-8.49e-20,0.73372,0.23207,0.30721,-3343.9712,-0.63393,2.4564,926886.8032,1.2503,-1.6899,0.97747,-0.79206,-0.22902,0.24065,1.2316,0.15147,-0.96903,-1.6486,0.31557,1.0
-0.87653,-2695.6019,2.38e-19,729.2565,-2216.2416,-58951.5021,-3992.4757,0.21713,-0.3481,-184138.134,-7208.1371,0.60241,-3285.4991,-164889.9928,-97989.2292,-0.55787,3.06e-22,-219245.0072,7.7981,0.080391,338.2709,-1.97e-20,0.19133,0.57819,920.9153,0.84762,-6.7e-19,0.70599,0.19559,0.32943,-2918.3182,-0.70748,1.9696,1652716.649,1.2018,-2.1382,1.4436,-0.45484,-0.054811,0.37252,1.6658,0.16037,-0.60916,-1.5043,0.41076,1.0
-0.98587,-2852.6281,-1.46e-21,860.1461,-2377.6668,-63212.9022,-4025.6347,0.31219,-0.34293,-185440.5682,-9593.5918,0.76566,-4025.7607,-160304.9157,-104464.505,-0.54706,-5.930000000000001e-21,-231973.3598,4.407,0.13606,449.1952,7.31e-21,0.21696,0.65236,721.5052,1.0771,-1.82e-20,0.90161,0.16186,0.32658,-3457.9505,-0.81718,2.0842,1560026.626,1.2201,-1.8063,1.0687,-0.84469,-0.37913,0.38972,1.2542,0.14165,-0.79369,-2.5212,0.23763,1.0
-0.64428,-3589.2522,-1.46e-21,388.007,-3059.6473,-75675.5627,-3507.916,0.2074,-0.19364,-229371.4211,-2341.7762,0.35511,-3919.3234,-180752.3073,-114419.5181,-0.2947,1.2500000000000001e-21,-256123.8984,7.5837,0.15208,161.7912,4.14e-21,0.11864,0.28715,301.3012,0.64428,-1.52e-20,0.54334,0.089292,0.18995,-3975.3701,-0.35511,-1.7773,1066338.095,1.1285,-1.0501,-0.26092,-0.27606,-0.9642,0.23871,1.445,0.22472,-0.49379,0.44102,0.25199,0.0
-0.91654,-3590.6391,-5.22e-20,503.3029,-3109.5031,-67410.5941,-5289.5429,0.26942,-0.24431,-237033.0165,-2824.6428,0.41558,-4295.6768,-169952.469,-102651.5335,-0.30729,-1.53e-22,-277071.0109,68.1856,0.22217,229.4041,-4.4900000000000005e-21,0.14114,0.30357,387.2381,0.91654,-2.2e-20,0.70322,0.10472,0.22256,-3966.8428,-0.41558,-1.4547,1587016.51,1.1576,-0.56811,-1.2093,0.19045,-0.36811,0.2871,1.567,0.2045,-0.8986,-0.012003,0.208,0.0
-0.75036,-3551.6283,-8.26e-20,294.4493,-2885.8923,-84965.2291,-4111.341,0.18588,-0.21067,-255621.7348,-2651.2462,0.35439,-4483.0682,-186432.2425,-122409.8911,-0.2504,-6.12e-23,-294549.2729,51.6426,0.15094,262.6602,-1.41e-21,0.096608,0.24261,137.5234,0.75036,-9.1e-20,0.56105,0.054592,0.17344,-4170.2422,-0.35439,-2.0754,1540684.566,1.1787,-0.89505,-0.64366,0.12843,-0.54786,0.23362,1.561,0.19286,-0.86242,-0.24275,0.23008,0.0
-0.076428,-4867.5298,5.16e-21,2.2898,-4173.6535,-136262.3667,-11278.6074,0.0086392,-0.015448,-302259.2065,-7920.0339,0.023972,-5860.8677,-261660.4611,-190439.6985,-0.021667,-7.65e-24,-373050.4772,80.0068,0.019814,36.1711,2.15e-22,0.0056106,0.023413,3.349,0.076428,-3.79e-22,0.043581,0.0062291,0.014429,-5107.2901,-0.023972,-0.69796,747486.646,1.2171,-0.00094187,0.17223,0.050835,-1.3678,0.3335,2.9202,0.19316,-1.5254,-0.4823,0.29184,1.0
