mean_MFCC_3rd_coef,GNE_SNR_SEO,VFER_NSR_SEO,mean_MFCC_4th_coef,mean_MFCC_9th_coef,mean_MFCC_8th_coef,mean_MFCC_7th_coef,std_MFCC_10th_coef,mean_MFCC_2nd_coef,IMF_NSR_entropy,mean_MFCC_6th_coef,mean_MFCC_5th_coef,std_MFCC_9th_coef,meanHarmToNoiseHarmonicity,meanPeriodPulses,RPDE,DFA,app_LT_entropy_log_9_coef,app_LT_TKEO_std_9_coef,app_LT_TKEO_std_4_coef,app_LT_TKEO_mean_8_coef,app_LT_TKEO_mean_4_coef,app_LT_TKEO_std_2_coef,app_LT_TKEO_std_3_coef,app_LT_TKEO_std_5_coef,app_LT_entropy_log_10_coef,app_LT_TKEO_mean_7_coef,app_LT_TKEO_std_8_coef,app_LT_TKEO_std_10_coef,app_LT_TKEO_std_6_coef,app_LT_TKEO_std_7_coef,app_LT_TKEO_mean_5_coef,app_LT_TKEO_mean_10_coef,app_LT_TKEO_mean_9_coef,app_LT_TKEO_mean_6_coef,f2,f1,class
-2.7049,1747991.318,1.318,-2.0298,-0.95541,1.5218,0.3648,0.19192,0.7111,0.15086,-2.3347,-1.3457,0.34364,27.095,0.003872688,0.44555,0.58326,144.964,5543.0336,133.5346,1049.8592,37.8173,22.0993,55.6475,302.3918,155.3612,491.8951,2769.814,11083.4259,652.8277,1345.8995,98.3402,4199.7667,2099.6908,231.4296,1285.817993,751.6864723,1.0
-2.0113,1582786.751,1.1749,-1.0458,-1.0169,0.68748,-0.23263,0.25388,3.1396,0.18682,-1.1977,0.16759,0.24943,6.301,0.003924152,0.78026,0.78996,144.9401,5546.6971,134.0329,1052.4571,37.9527,22.1749,55.9319,303.7988,155.3374,493.4033,2780.8476,11101.1814,655.7354,1348.1929,98.6979,4206.8681,2104.7227,232.1955,1256.570863,493.1873293,1.0
-1.7587,1345257.73,1.2401,-2.2904,-1.3072,0.73882,-0.22014,0.20797,3.0062,0.18136,-1.072,0.5178,0.23997,12.354,0.006316424,0.70809,0.76831,144.8668,5508.8857,132.9956,1044.3195,37.639,21.9111,55.3693,301.114,155.264,489.4014,2756.9377,11020.6905,649.6593,1338.4137,97.8588,4176.1961,2088.5436,230.2772,1241.232495,487.8220627,1.0
-1.8396,1669174.207,1.2113,-2.5196,-1.1697,0.42153,0.18847,0.28338,3.8325,0.17821,-1.5939,0.49,0.24057,13.735,0.006624185,0.6918,0.77992,144.9702,5538.3407,133.2709,1048.9559,37.7796,22.053,55.6331,301.926,155.3674,491.5308,2767.2569,11074.8059,652.2783,1344.4851,98.274,4196.5425,2097.9498,231.3107,1166.500244,532.1190414,1.0
-0.72286,1658428.668,1.3696,-1.7518,0.0056289,1.4283,-1.1952,0.18723,1.6047,0.19008,-2.9687,-0.48544,0.26389,27.642,0.006433293,0.33216,0.61483,142.1449,4585.65,110.5168,867.9692,31.2867,18.2444,46.0159,250.3007,152.5421,406.7473,2288.8051,9166.5885,540.0123,1112.1852,81.3386,3473.3359,1736.0252,191.4031,1081.275302,600.5084218,1.0
-0.99284,1731942.346,1.3761,-0.99756,-0.22861,1.0557,-0.74146,0.15253,0.72048,0.19805,-2.8914,-0.88049,0.23825,25.185,0.006754263,0.37051,0.62018,141.8679,4500.2359,108.4572,851.631,30.6966,17.9249,45.1511,245.5245,152.2651,399.1102,2245.3872,8994.973,529.9628,1091.1136,79.8143,3408.2716,1703.3725,187.8102,1073.178259,590.7963713,1.0
-0.76915,1363345.827,1.3151,-0.77755,0.43487,0.80106,-0.9714,0.17066,1.4756,0.22904,-2.9155,-1.1332,0.18934,26.686,0.007256724,0.37031,0.63124,141.451,4376.6136,105.5684,828.5648,29.8783,17.4155,43.9405,239.0198,151.8482,388.3877,2185.1988,8749.9743,515.9569,1061.1468,77.6752,3315.5187,1657.2259,182.7769,1036.794374,562.3489087,1.0
-0.50685,1933826.091,1.2529,-1.034,0.82021,1.4985,-0.41223,0.31555,1.1404,0.16788,-1.2538,-0.62675,0.31897,23.084,0.006824086,0.44583,0.66085,141.8169,4488.4308,108.3847,850.2446,30.6696,18.0573,45.4312,246.004,152.2141,398.7261,2243.657,8976.4395,530.3759,1088.259,79.8314,3401.4709,1700.5938,187.7494,1233.233624,674.2928811,1.0
-0.30496,2218999.261,1.1719,-0.41464,0.87948,1.5803,-0.43204,0.28027,1.3162,0.20006,-0.80136,-0.90073,0.24248,23.753,0.006693036,0.36714,0.71199,141.8634,4515.5858,109.1429,856.6153,30.8971,17.9924,45.4218,247.3907,152.2606,401.6264,2262.9611,9036.5424,533.7757,1096.9676,80.3225,3424.418,1713.0838,188.9878,1205.012396,634.0314868,1.0
-0.66248,2179452.108,1.2225,-0.81113,1.234,1.5678,-1.0357,0.25292,0.45448,0.18063,-1.3711,-0.91019,0.20548,26.489,0.006623612,0.36176,0.62901,141.9601,4534.6787,109.4199,859.1313,30.9738,18.0712,45.5463,247.7904,152.3573,402.6758,2267.1417,9069.1158,534.792,1100.6749,80.5293,3436.5755,1718.2618,189.4873,1186.320411,683.0342196,1.0
3.0083,1110514.977,1.2211,-0.86812,-0.36397,0.075968,1.6874,0.20787,1.4909,0.17423,-0.319,-0.62589,0.2255,7.254,0.007226883,0.71652,0.81029,141.1954,4336.4138,105.4189,824.1959,29.8471,17.2138,44.0557,239.5554,151.5927,386.4488,2180.8832,8685.4304,513.4794,1055.5383,77.2721,3291.5081,1647.9645,181.7788,1147.07239,468.3875629,1.0
1.9919,1796323.599,1.2642,-1.9116,-0.5831,0.081758,1.1016,0.23628,1.2594,0.16374,0.23323,-1.3788,0.24879,7.194,0.009677449,0.75672,0.73507,137.7444,3405.2447,82.739,645.5057,23.3566,13.6937,34.1667,186.4061,148.1416,302.7639,1703.426,6814.5812,402.3759,825.5395,60.547,2582.3354,1291.088,142.4401,1215.341781,592.5682545,1.0
2.2096,1827286.714,1.2796,-1.2621,-0.45646,0.39812,1.4846,0.17768,1.2099,0.16036,0.01602,-1.1625,0.23133,3.425,0.00718394,0.6648,0.77921,137.2798,3524.4567,96.0176,686.5067,25.9452,16.1077,37.9688,217.4573,147.6822,329.9405,1880.4393,7116.9945,464.7843,874.2514,67.0955,2694.2312,1370.6836,156.4371,1194.092048,545.7672356,1.0
-1.7211,1555852.562,1.3214,-0.19772,-0.10371,0.31799,-0.15936,0.32932,1.0426,0.19453,-0.54426,0.039771,0.23721,19.116,0.007371105,0.4662,0.67313,141.3019,4336.6178,104.4056,820.7694,29.5684,17.2685,43.5205,236.4329,151.6992,384.5524,2164.2082,8668.1956,510.3848,1052.1558,76.8998,3284.4724,1641.6113,180.9425,1352.338716,597.0531046,1.0
-2.0757,1770282.403,1.3067,-0.92052,-0.12041,0.027319,-0.39805,0.27835,0.18971,0.16345,-1.1305,0.024052,0.27468,23.072,0.006776156,0.47446,0.62426,141.8814,4497.8116,108.2069,850.6654,30.6476,17.8803,45.1075,244.9871,152.2786,398.6139,2241.6777,8987.7571,529.174,1089.9971,79.7024,3405.4227,1701.5239,187.5747,1329.57348,605.9428457,1.0
-2.0148,1876014.433,1.2834,-0.25183,-0.3844,0.54048,-0.28884,0.23096,-0.69319,0.13959,-1.4919,0.20816,0.21716,22.266,0.006642625,0.56243,0.62982,142.0294,4539.7003,109.3117,858.4783,30.9384,18.0399,45.4943,247.3338,152.4266,402.2714,2261.9618,9071.0983,533.9567,1099.9593,80.4407,3436.9683,1717.1741,189.2949,1355.202945,614.1762786,1.0
-0.88695,1740469.397,1.2876,-2.3027,0.66879,0.11701,0.64539,0.1783,3.2723,0.18479,-2.9225,-1.2681,0.17059,23.641,0.005820732,0.46038,0.60863,142.7623,4777.3843,115.1669,904.7767,32.6238,19.0762,48.0324,260.9644,153.1595,424.136,2386.812,9553.2303,563.5192,1158.6968,84.8341,3619.9654,1809.6368,199.6127,1121.59864,690.9035785,1.0
-0.79222,1302566.281,1.2806,-1.9128,0.031229,0.19546,0.0019819,0.21631,2.9799,0.1746,-2.3348,-1.3332,0.16888,25.301,0.005805192,0.43513,0.61289,142.7855,4787.9682,115.5996,907.5427,32.7383,19.107,48.1458,262.051,153.1827,425.4966,2395.5935,9578.6763,565.3294,1162.0273,85.1172,3629.7689,1815.0855,200.2588,1200.32956,684.0394336,1.0
-1.2067,1660437.787,1.2592,-1.883,0.58156,-0.073581,0.92409,0.19122,2.7498,0.19447,-2.3194,-2.0219,0.17488,24.249,0.005837888,0.39889,0.60437,142.684,4761.293,114.8171,902.2466,32.5225,18.9908,47.8502,260.2484,153.0812,422.8529,2381.2614,9523.1619,561.5464,1156.082,84.5681,3608.6516,1804.4584,198.9697,1132.271131,695.4980887,1.0
-0.35011,474091.1227,1.182,0.93677,1.3139,1.4231,-1.4172,0.32343,2.2431,0.15081,-2.8153,-0.8563,0.34009,13.831,0.009104241,0.69379,0.66429,139.9918,3978.5293,96.007,753.944,27.1881,15.8982,40.0546,217.8119,150.389,353.4215,1989.9325,7957.8222,469.6374,965.679,70.705,3015.5009,1507.8787,166.315,910.7400221,528.7586345,1.0
-0.67505,921917.5999,1.1958,0.19772,1.1839,1.1559,-1.8479,0.33796,3.1951,0.10887,-3.2328,-1.4312,0.26292,17.369,0.007782401,0.62249,0.64823,141.1858,4449.0582,115.825,859.7566,31.8742,19.426,46.5419,262.1114,151.5851,408.8849,2319.3907,8975.0169,562.0095,1089.8503,82.5912,3401.0285,1717.7641,193.2497,844.8489011,520.5188847,1.0
-0.98671,788009.8375,1.2037,0.32703,1.1349,1.2059,-2.0486,0.36987,1.7388,0.12861,-3.5045,-1.3998,0.35878,17.581,0.00815993,0.59772,0.64326,140.9175,4404.0955,116.1524,853.3995,31.8034,19.8348,46.5082,262.7353,151.3176,407.1829,2312.7845,8890.1961,563.7581,1082.4349,82.3967,3368.118,1704.7367,192.6618,903.322809,541.9708101,1.0
-1.6492,1370539.628,1.3256,-1.1908,0.16247,0.94685,-1.2169,0.27621,0.92812,0.17931,-2.2551,0.73504,0.22126,24.058,0.005138503,0.26212,0.66846,143.3773,4993.8275,120.7146,946.6226,34.1426,19.9472,50.2147,273.4497,153.7745,443.7527,2499.4224,9989.3808,589.6468,1212.5364,88.7626,3785.3604,1893.1485,208.8233,1204.506346,577.9882193,0.0
-0.54978,1693327.298,1.3528,-1.5476,0.91054,0.8656,-1.8423,0.36293,-0.12565,0.16142,-1.9683,-0.053167,0.39824,20.883,0.006607654,0.33526,0.64898,143.3072,4973.5803,120.1311,942.8777,34.0018,19.8872,50.0405,272.3235,153.7044,442.0328,2489.869,9949.1236,587.5727,1207.5821,88.4149,3770.107,1885.6356,208.0133,1199.841112,583.5872685,0.0
-0.17878,1451112.198,1.3018,-1.2222,1.0124,0.72215,-1.8349,0.18478,0.13828,0.18562,-1.6696,-0.54687,0.42838,19.645,0.006772626,0.46658,0.67496,143.169,4924.0229,118.8438,933.9336,33.6523,19.6602,49.5559,269.2095,153.5662,437.6656,2466.5353,9853.1216,581.0406,1197.0789,87.5183,3733.8347,1867.7213,205.9271,1179.520943,588.7673238,0.0
1.0394,1950179.961,1.1972,-1.0148,1.0642,1.3377,0.63757,0.31693,0.96335,0.22573,-0.86676,-0.41845,0.25925,14.545,0.007427449,0.52028,0.74807,141.2839,4334.5611,104.5534,821.3772,29.6119,17.3533,43.6306,236.9811,151.6811,385.0463,2167.7723,8669.9289,511.6959,1051.9256,77.0114,3285.3385,1642.7543,181.1975,1005.997522,568.5138755,1.0
0.89372,1782870.302,1.2721,-1.0168,0.94483,2.0072,0.61079,0.21763,1.2571,0.22231,-1.2428,-0.19143,0.23047,16.195,0.007285737,0.41361,0.75192,141.4114,4371.1296,105.5868,828.1761,29.8723,17.4453,43.9097,239.0692,151.8086,388.2722,2185.5803,8742.304,515.9872,1060.427,77.6614,3312.7413,1656.3592,182.7196,1006.474881,652.7802218,1.0
0.80291,1732494.937,1.2193,-2.0082,0.27346,2.1867,1.4095,0.22003,1.0681,0.18892,-1.1462,-0.93807,0.222,18.661,0.007219309,0.47103,0.68639,141.4928,4396.1072,106.3418,833.8955,30.103,17.5281,44.2249,240.758,151.89,391.1084,2202.6077,8798.1897,520.0394,1067.1649,78.2322,3334.1436,1667.7316,184.0817,1192.104053,885.5253383,1.0
2.4564,926886.8032,1.2503,-1.6899,0.97747,-0.79206,-0.22902,0.24065,1.2316,0.15147,-0.96903,-1.6486,0.31557,20.923,0.005614298,0.32538,0.7233,142.9253,4847.2601,117.4589,920.4132,33.2357,19.3936,48.864,266.1645,153.3225,431.8254,2433.4192,9705.659,574.6574,1177.4396,86.3999,3678.1843,1840.6409,203.2677,1052.028906,530.1320949,1.0
1.9696,1652716.649,1.2018,-2.1382,1.4436,-0.45484,-0.054811,0.37252,1.6658,0.16037,-0.60916,-1.5043,0.41076,15.577,0.008018442,0.64741,0.72248,142.341,4564.9359,100.5658,797.2866,27.9646,17.3589,42.8093,225.1612,152.7568,367.3412,2039.9278,8678.8489,474.1479,1094.1543,72.1638,3243.8274,1598.8159,171.7164,1095.70526,600.7087065,1.0
2.0842,1560026.626,1.2201,-1.8063,1.0687,-0.84469,-0.37913,0.38972,1.2542,0.14165,-0.79369,-2.5212,0.23763,19.695,0.006238877,0.49392,0.69601,143.1937,4940.6186,119.8365,939.0832,33.9121,19.8039,49.9199,271.8794,153.5909,440.5797,2484.674,9897.6234,586.2284,1201.5429,88.1743,3751.0814,1877.8747,207.3931,1040.527885,596.5917789,1.0
-1.7773,1066338.095,1.1285,-1.0501,-0.26092,-0.27606,-0.9642,0.23871,1.445,0.22472,-0.49379,0.44102,0.25199,17.875,0.004808549,0.37209,0.79945,143.8459,5134.6831,123.6924,972.1499,35.021,20.4897,51.5974,279.9923,154.2431,455.4734,2563.7249,10265.8824,604.3537,1246.2127,91.0787,3889.9299,1944.3864,214.3325,1220.773613,413.7350847,0.0
-1.4547,1587016.51,1.1576,-0.56811,-1.2093,0.19045,-0.36811,0.2871,1.567,0.2045,-0.8986,-0.012003,0.208,18.723,0.004861382,0.36585,0.79509,143.8086,5122.6256,123.5262,970.3545,34.981,20.413,51.5008,279.7475,154.2058,454.8488,2559.9884,10244.7187,604.2685,1242.7274,90.9575,3882.007,1940.7632,214.0292,1263.640756,472.6526236,0.0
-2.0754,1540684.566,1.1787,-0.89505,-0.64366,0.12843,-0.54786,0.23362,1.561,0.19286,-0.86242,-0.24275,0.23008,20.53,0.004827373,0.37052,0.7657,143.7628,5111.1995,123.0927,967.1055,34.8416,20.3475,51.2305,278.5732,154.16,453.1016,2549.716,10214.611,601.3527,1239.7741,90.5938,3870.3609,1934.2952,213.1948,1261.11688,587.7021388,0.0
-0.69796,747486.646,1.2171,-0.00094187,0.17223,0.050835,-1.3678,0.3335,2.9202,0.19316,-1.5254,-0.4823,0.29184,18.577,0.008107194,0.59089,0.69205,140.7815,4179.5282,100.6126,790.2184,28.4777,16.6146,41.8809,227.7494,151.1787,370.2743,2081.9225,8350.2069,491.6032,1012.5264,74.0365,3163.7877,1580.6328,174.2276,1061.756507,473.2741614,1.0
-0.4053,1115430.061,1.2101,0.27262,0.19759,0.21045,-1.4006,0.31546,3.3099,0.19762,-1.7582,-0.55041,0.31139,15.782,0.008053571,0.67128,0.69206,140.9418,4214.7716,101.2329,797.4995,28.7598,16.7157,42.418,229.8364,151.339,373.9362,2102.1107,8425.798,496.9096,1020.7667,74.8067,3192.6092,1595.2698,176.0438,1105.815035,495.4427776,1.0
-0.39154,1474142.212,1.2015,0.64756,0.49698,0.42486,-1.4385,0.34615,3.0958,0.23857,-1.7303,-0.20719,0.33151,13.521,0.008258025,0.70388,0.70522,140.8327,4174.2905,100.471,787.8522,28.4105,16.5447,41.7299,227.0584,151.23,369.0794,2072.677,8333.6094,489.5228,1009.5991,73.8187,3157.0906,1576.1399,173.6833,1008.973608,485.3734409,1.0
2.2098,2198559.852,1.2964,-1.5733,-0.037773,0.8968,1.1675,0.25226,2.5756,0.21923,-2.224,-0.75228,0.44123,13.225,0.00445595,0.52382,0.72967,144.5374,5339.4539,128.6348,1008.9661,36.4042,21.2504,53.5248,291.1685,154.9347,472.9252,2656.4903,10668.0732,627.8948,1291.9061,94.6404,4041.8116,2018.5056,222.6618,1209.085895,682.1836015,1.0
1.4802,1864392.371,1.2759,-1.4586,-0.10917,1.3409,1.1215,0.30507,1.825,0.17932,-1.9145,-0.87935,0.32698,11.068,0.005015555,0.6361,0.70885,144.6454,5353.4225,131.6513,1014.6052,37.1219,21.9917,54.5463,297.0212,155.0426,478.6772,2679.2534,10717.944,643.9189,1288.6376,96.0376,4061.4712,2029.9228,226.0483,1193.497792,680.701195,1.0
1.3793,2270097.718,1.2303,-0.44386,0.28906,2.02,1.0005,0.25594,2.9311,0.21463,-1.1078,-0.83322,0.26927,6.712,0.004801378,0.7403,0.78348,142.7412,4773.9577,100.2374,813.4696,27.8256,17.4824,43.8287,220.3282,153.1669,374.6136,2076.9938,8894.0872,485.1526,1192.3197,73.3186,3310.7774,1629.7689,175.5799,1113.372261,822.1848024,1.0
-0.099732,1357371.539,1.3665,-4.9563,-0.90121,-0.40403,0.34529,0.32878,-0.98526,0.15071,-1.5772,-0.26338,0.32512,17.402,0.004844593,0.50978,0.58151,143.7182,5101.7585,122.8736,966.5194,34.7953,20.3122,51.2347,278.4817,154.1154,452.6677,2550.1509,10202.4819,600.101,1240.1484,90.5077,3866.0082,1932.9855,212.972,1481.345894,820.359585,1.0
-0.22312,955046.4535,1.3633,-4.742,-0.71593,-0.11338,-0.08269,0.37407,-0.75193,0.15186,-1.6758,-0.085573,0.39823,18.418,0.004702189,0.45109,0.57905,143.8525,5156.0274,124.2619,977.3072,35.2056,20.559,51.8218,281.8815,154.2497,458.0104,2580.1567,10313.2099,608.28,1252.4099,91.5678,3908.0259,1954.4793,215.4804,1440.188919,814.3764502,1.0
0.7287,1714462.33,1.3476,-4.9157,-0.94131,0.1205,0.84135,0.26472,-2.1551,0.12591,-1.3842,-0.34678,0.26575,14.996,0.005109073,0.55182,0.57581,143.5092,5019.4675,120.9984,950.2626,34.2554,20.0012,50.3847,274.0073,153.9064,445.3584,2506.0571,10035.2485,591.2638,1217.4129,89.0627,3802.5345,1900.6331,209.5979,1473.833183,827.7795655,1.0
2.7,1675916.155,1.2891,-3.5309,-0.028535,2.0096,0.89633,0.28053,-0.28259,0.16696,-0.62822,0.48268,0.28904,11.167,0.006377773,0.69229,0.69603,142.0548,4588.9465,111.1224,870.7948,31.476,18.3532,46.211,251.4644,152.452,408.9674,2302.5186,9183.3846,546.1976,1112.0155,81.7863,3480.0107,1741.3571,192.5081,1296.395864,922.2675985,1.0
2.8563,1585178.976,1.2996,-4.0145,0.17786,1.2725,0.49398,0.38222,0.28409,0.15116,-1.3619,0.47151,0.46006,12.006,0.006282661,0.69724,0.71769,142.7831,4784.6203,119.2077,905.0773,33.4458,19.4479,48.8311,272.7626,153.1803,425.8375,2386.7341,9561.6463,576.9304,1152.6193,86.2881,3622.782,1810.5341,200.608,1242.750233,784.8503875,1.0
1.5701,1577201.586,1.2995,-3.9656,0.23371,1.8611,0.82009,0.32445,0.51097,0.14466,-0.87028,-0.032642,0.33975,15.549,0.006292158,0.59403,0.63726,142.2855,4604.5912,109.687,866.8941,31.1205,18.1371,45.7235,248.1573,152.6829,405.3617,2276.8118,9177.7007,535.4686,1115.214,80.9566,3476.3205,1734.2712,190.6664,1223.356541,886.1136842,1.0
1.0353,1570546.777,1.2205,-2.3516,0.67992,1.4234,-0.066652,0.43535,-0.078299,0.17389,-2.4871,-0.18654,0.31842,20.222,0.006185115,0.40531,0.63744,142.4067,4664.1904,112.3576,883.1437,31.8212,18.5908,46.857,254.4559,152.8039,413.8427,2329.1938,9325.764,549.2703,1131.7738,82.7594,3533.7272,1766.3717,194.7539,1143.787452,694.1415423,1.0
0.81197,1176664.785,1.3385,-2.903,1.0177,0.96509,0.35843,0.42078,0.00043904,0.15597,-2.4089,0.21137,0.41844,17.426,0.006039518,0.61144,0.6336,142.5452,4710.5563,113.6068,892.3009,32.17,18.7697,47.281,257.2804,152.9424,418.213,2354.1874,9420.4406,555.3354,1143.1359,83.6338,3569.6785,1784.6392,196.7967,1189.383319,684.8702565,1.0
1.2158,1368153.719,1.231,-2.7547,0.37187,2.0997,-0.32791,0.33224,-1.3452,0.15459,-1.7157,-0.25121,0.29725,17.709,0.006199452,0.57418,0.61862,142.3372,4659.6468,112.8287,883.973,31.9118,18.5773,46.9454,255.5327,152.7344,414.6336,2335.4346,9325.1748,551.7503,1131.0881,82.9409,3533.8106,1767.8236,195.1287,1179.710597,751.7470438,1.0
-0.75064,1519170.428,1.3904,-1.9589,-0.36571,-1.3061,1.1305,0.21652,1.7034,0.2033,-0.8771,-2.75,0.28092,25.74,0.005991833,0.49305,0.64209,142.5904,4725.5561,114.1881,895.2031,32.2917,18.8233,47.5118,258.3605,152.9876,419.6568,2362.1292,9450.7617,557.4844,1146.4871,83.9445,3581.1928,1790.4491,197.5079,1258.659351,658.7072609,1.0
-0.79397,1708053.675,1.4384,-1.7192,0.21207,-1.6696,1.0245,0.19817,2.1992,0.17858,-0.43298,-2.9423,0.28786,25.826,0.005948672,0.48776,0.63879,142.6216,4739.9233,114.7705,898.3043,32.4307,18.9013,47.6838,259.58,153.0188,421.2401,2371.2674,9481.3038,560.0521,1149.7919,84.2687,3592.8246,1796.5942,198.2504,1240.753695,649.3859769,1.0
-0.45843,1056468.366,1.3059,-0.84534,0.27321,-1.646,0.82109,0.24411,1.6752,0.18603,-0.9849,-2.7297,0.3061,25.45,0.005985919,0.54195,0.66136,142.5651,4724.0941,114.1474,895.4704,32.2936,18.8484,47.5108,258.6797,152.9623,419.8062,2363.9978,9450.4376,557.8901,1146.7626,83.9769,3581.1552,1790.9018,197.558,1249.898825,618.6895318,1.0
2.8696,1913246.785,1.1903,-0.63173,-0.15158,0.50863,-0.80811,0.39246,3.4838,0.21804,-2.4242,-0.13343,0.32402,22.31,0.006778442,0.42878,0.73949,141.8663,4508.8944,109.3635,854.6387,30.8772,18.0359,45.4559,247.5249,152.2635,400.9712,2256.5542,9019.7786,533.7885,1092.9382,80.2531,3417.9639,1709.2699,188.7635,761.3576607,460.5969265,1.0
