mean_MFCC_3rd_coef,GNE_SNR_SEO,VFER_NSR_SEO,mean_MFCC_4th_coef,mean_MFCC_9th_coef,mean_MFCC_8th_coef,mean_MFCC_7th_coef,std_MFCC_10th_coef,mean_MFCC_2nd_coef,IMF_NSR_entropy,mean_MFCC_6th_coef,mean_MFCC_5th_coef,std_MFCC_9th_coef,std_12th_delta_delta,app_LT_entropy_shannon_6_coef,app_LT_entropy_shannon_8_coef,std_10th_delta_delta,std_8th_delta_delta,std_10th_delta,std_9th_delta_delta,std_9th_delta,app_LT_entropy_shannon_3_coef,det_LT_entropy_log_10_coef,app_entropy_log_8_coef,app_LT_entropy_shannon_5_coef,app_entropy_log_7_coef,app_entropy_log_9_coef,app_LT_entropy_log_8_coef,app_entropy_log_10_coef,app_entropy_log_6_coef,app_LT_entropy_shannon_7_coef,app_LT_entropy_shannon_2_coef,std_12th_delta,std_8th_delta,std_6th_delta_delta,app_LT_entropy_shannon_9_coef,app_LT_entropy_shannon_4_coef,app_LT_entropy_shannon_10_coef,std_11th_delta_delta,class
-1.7587,1345257.73,1.2401,-2.2904,-1.3072,0.73882,-0.22014,0.20797,3.0062,0.18136,-1.072,0.5178,0.23997,0.015051,-251942.6621,-1051764.651,0.016572,0.015236,0.03468,0.018274,0.039119,-51140.2795,-146.0787,249.0042,-134691.5833,254.5218,259.4014,134.4696,269.7987,258.646,-517620.3051,-35885.958,0.031368,0.032436,0.018796,-2266174.388,-78769.1705,-4857638.496,0.01661,1.0
-1.8396,1669174.207,1.2113,-2.5196,-1.1697,0.42153,0.18847,0.28338,3.8325,0.17821,-1.5939,0.49,0.24057,0.014959,-253849.5463,-1059849.647,0.016949,0.017433,0.041522,0.016751,0.03587,-51488.8364,-144.7267,249.5758,-135672.9949,255.1164,259.973,134.573,270.3702,259.2721,-521533.1824,-36126.1063,0.032203,0.036074,0.019495,-2283468.819,-79323.4767,-4894476.426,0.016667,1.0
-0.72286,1658428.668,1.3696,-1.7518,0.0056289,1.4283,-1.1952,0.18723,1.6047,0.19008,-2.9687,-0.48544,0.26389,0.014153,-205063.4694,-859468.8244,0.012826,0.017061,0.027502,0.018456,0.037678,-41167.9035,-153.9987,234.6191,-109308.3089,239.162,245.0163,131.7477,255.4136,242.3282,-422162.0213,-28732.8816,0.030997,0.031869,0.023655,-1854591.921,-63692.1966,-3980491.186,0.012336,1.0
-0.99284,1731942.346,1.3761,-0.99756,-0.22861,1.0557,-0.74146,0.15253,0.72048,0.19805,-2.8914,-0.88049,0.23825,0.014588,-200798.7246,-841972.3802,0.010393,0.016514,0.020222,0.016145,0.032609,-40254.6774,-133.8304,233.2274,-106993.6511,237.6746,243.6246,131.4707,254.022,240.7471,-413475.662,-28076.7818,0.030756,0.038199,0.026233,-1817117.373,-62315.594,-3900578.239,0.011426,1.0
-0.76915,1363345.827,1.3151,-0.77755,0.43487,0.80106,-0.9714,0.17066,1.4756,0.22904,-2.9155,-1.1332,0.18934,0.018134,-194529.5017,-816293.1185,0.011313,0.012496,0.024342,0.013297,0.030791,-38909.1193,-125.9157,231.1564,-103590.1001,235.4626,241.5537,131.0538,251.9509,238.3892,-400737.4611,-27108.3141,0.034829,0.023334,0.02232,-1762108.023,-60287.1856,-3783258.73,0.01254,1.0
-0.50685,1933826.091,1.2529,-1.034,0.82021,1.4985,-0.41223,0.31555,1.1404,0.16788,-1.2538,-0.62675,0.31897,0.012775,-200017.4205,-838786.9103,0.016261,0.015875,0.035743,0.017336,0.041319,-40067.5087,-147.5028,232.9906,-106553.8176,237.4244,243.3879,131.4197,253.7851,240.4742,-411917.2959,-27935.6579,0.031007,0.037715,0.011937,-1810294.212,-62035.8448,-3886029.174,0.017759,1.0
-0.30496,2218999.261,1.1719,-0.41464,0.87948,1.5803,-0.43204,0.28027,1.3162,0.20006,-0.80136,-0.90073,0.24248,0.013495,-200833.018,-841692.9122,0.021562,0.011861,0.048075,0.013586,0.03152,-40383.9513,-115.6092,233.2055,-107096.4885,237.6814,243.6027,131.4662,254.0001,240.7603,-413512.5441,-28190.8269,0.028775,0.026959,0.017245,-1816518.668,-62439.2111,-3899300.758,0.013402,1.0
-0.66248,2179452.108,1.2225,-0.81113,1.234,1.5678,-1.0357,0.25292,0.45448,0.18063,-1.3711,-0.91019,0.20548,0.011047,-202234.1089,-847750.1216,0.011256,0.017955,0.025738,0.013248,0.032059,-40605.4446,-246.7032,233.6888,-107802.1687,238.1782,244.086,131.5628,254.4832,241.2814,-416404.7859,-28335.8898,0.022199,0.039864,0.013618,-1829492.996,-62819.4822,-3926971.495,0.010968,1.0
3.0083,1110514.977,1.2211,-0.86812,-0.36397,0.075968,1.6874,0.20787,1.4909,0.17423,-0.319,-0.62589,0.2255,0.014045,-191071.8487,-800973.6386,0.013703,0.016602,0.024871,0.015278,0.028612,-38484.4215,-86.5946,230.2889,-101948.15,234.5894,240.6863,130.7982,251.0843,237.4777,-393530.5746,-26863.1504,0.027229,0.031802,0.020392,-1729284.534,-59457.7879,-3713229.039,0.018524,1.0
1.9919,1796323.599,1.2642,-1.9116,-0.5831,0.081758,1.1016,0.23628,1.2594,0.16374,0.23323,-1.3788,0.24879,0.017249,-146564.0696,-619549.409,0.018026,0.019807,0.040198,0.017999,0.028858,-28653.296,-90.7326,214.504,-77588.9356,217.6202,224.9017,127.3472,235.2994,219.3357,-303146.3012,-19748.5529,0.031849,0.040042,0.017552,-1340262.608,-44811.0332,-2882853.673,0.017454,1.0
2.2096,1827286.714,1.2796,-1.2621,-0.45646,0.39812,1.4846,0.17768,1.2099,0.16036,0.01602,-1.1625,0.23133,0.01578,-142632.5924,-600516.7472,0.013248,0.016773,0.02318,0.018224,0.032941,-27831.1907,-39.6435,212.1808,-75521.7923,215.3009,222.5955,126.8821,233.0866,216.7622,-295288.9344,-19072.0513,0.025352,0.027149,0.016459,-1299325.674,-43568.107,-2793887.557,0.015197,1.0
-1.7211,1555852.562,1.3214,-0.19772,-0.10371,0.31799,-0.15936,0.32932,1.0426,0.19453,-0.54426,0.039771,0.23721,0.012295,-192413.5087,-807303.0858,0.016778,0.018367,0.035579,0.016272,0.034424,-38554.8187,-159.1938,230.4235,-102510.5662,234.6919,240.8207,130.9047,251.218,237.5844,-396348.5639,-26877.0306,0.024478,0.041236,0.019124,-1742847.377,-59697.2091,-3742176.017,0.011764,1.0
-2.0757,1770282.403,1.3067,-0.92052,-0.12041,0.027319,-0.39805,0.27835,0.18971,0.16345,-1.1305,0.024052,0.27468,0.017662,-200937.795,-842821.9145,0.02165,0.018328,0.039957,0.019969,0.039673,-40222.4423,-106.6072,233.2954,-107021.4633,237.7327,243.6927,131.4842,254.0903,240.799,-413812.7366,-28041.9554,0.033544,0.036403,0.021007,-1818936.762,-62300.0964,-3904455.014,0.013396,1.0
-2.0148,1876014.433,1.2834,-0.25183,-0.3844,0.54048,-0.28884,0.23096,-0.69319,0.13959,-1.4919,0.20816,0.21716,0.010635,-203165.9941,-852139.9374,0.016996,0.014098,0.035577,0.014874,0.031681,-40646.1156,-101.676,234.0377,-108198.5022,238.5175,244.4349,131.6322,254.8326,241.6266,-418388.3226,-28333.9342,0.021635,0.027836,0.021635,-1838894.724,-62971.8972,-3947013.781,0.013278,1.0
-0.88695,1740469.397,1.2876,-2.3027,0.66879,0.11701,0.64539,0.1783,3.2723,0.18479,-2.9225,-1.2681,0.17059,0.013321,-214814.6103,-899781.82,0.015509,0.015166,0.030245,0.012988,0.025526,-43166.7052,-125.0536,237.7689,-114528.9319,242.5155,248.1662,132.3651,258.5634,245.8782,-442102.4298,-30148.2639,0.029266,0.031963,0.020198,-1940918.258,-66753.6757,-4164545.401,0.015811,1.0
-0.79222,1302566.281,1.2806,-1.9128,0.031229,0.19546,0.0019819,0.21631,2.9799,0.1746,-2.3348,-1.3332,0.16888,0.019792,-215181.2547,-901327.0024,0.013574,0.01543,0.026293,0.012928,0.025139,-43240.3588,-134.2617,237.8876,-114730.6596,242.6451,248.2849,132.3883,258.6821,246.0093,-442886.6251,-30197.0631,0.042857,0.031196,0.022728,-1944226.65,-66868.3045,-4171598.568,0.013521,1.0
-1.2067,1660437.787,1.2592,-1.883,0.58156,-0.073581,0.92409,0.19122,2.7498,0.19447,-2.3194,-2.0219,0.17488,0.012984,-213645.2284,-894565.1679,0.014903,0.015188,0.027062,0.011823,0.02148,-43037.3134,-157.9624,237.3654,-113982.8382,242.105,247.7626,132.2868,258.1598,245.4568,-439637.2066,-30081.0397,0.026606,0.028782,0.018554,-1929748.719,-66491.1529,-4140734.166,0.014286,1.0
-0.35011,474091.1227,1.182,0.93677,1.3139,1.4231,-1.4172,0.32343,2.2431,0.15081,-2.8153,-0.8563,0.34009,0.023139,-174224.2859,-732376.8947,0.018476,0.028675,0.039502,0.020066,0.04257,-34731.4377,-173.7681,224.1321,-92698.1712,227.9874,234.5293,129.5946,244.9265,230.4548,-359282.4124,-24142.6298,0.0475,0.060866,0.035266,-1582269.097,-53887.8639,-3399568.762,0.020189,1.0
-0.67505,921917.5999,1.1958,0.19772,1.1839,1.1559,-1.8479,0.33796,3.1951,0.10887,-3.2328,-1.4312,0.26292,0.020497,-191251.5203,-801421.5011,0.025371,0.028496,0.056539,0.022234,0.045912,-38064.8861,-50.8705,230.6204,-101759.8101,234.9687,241.0361,130.7884,251.531,237.6525,-394411.6803,-26394.5493,0.044465,0.062735,0.02926,-1730202.117,-59104.0971,-3714450.987,0.017751,1.0
-0.98671,788009.8375,1.2037,0.32703,1.1349,1.2059,-2.0486,0.36987,1.7388,0.12861,-3.5045,-1.3998,0.35878,0.025805,-187564.6264,-786020.4042,0.023247,0.032249,0.050677,0.026831,0.058085,-37256.3792,-45.8355,229.36,-99741.31,233.61,239.7819,130.52,250.2961,236.1554,-386968.032,-25796.3764,0.058394,0.071231,0.032941,-1697184.548,-57889.752,-3643724.251,0.019677,1.0
-1.6492,1370539.628,1.3256,-1.1908,0.16247,0.94685,-1.2169,0.27621,0.92812,0.17931,-2.2551,0.73504,0.22126,0.011646,-225237.2859,-941793.802,0.023343,0.016144,0.045458,0.015386,0.029962,-45552.1073,-112.0091,240.9702,-120297.9566,245.9668,251.3674,132.9801,261.7647,249.5754,-463155.3466,-31895.0064,0.026178,0.031757,0.019955,-2030857.914,-70268.1824,-4356255.826,0.015571,0.0
-0.54978,1693327.298,1.3528,-1.5476,0.91054,0.8656,-1.8423,0.36293,-0.12565,0.16142,-1.9683,-0.053167,0.39824,0.011686,-224089.93,-936911.9646,0.01637,0.011375,0.03166,0.013958,0.029788,-45351.0372,-103.8881,240.603,-119700.1216,245.582,251.0002,132.91,261.3975,249.1736,-460777.8397,-31760.913,0.023839,0.02346,0.011495,-2020407.935,-69936.3459,-4333982.913,0.012079,0.0
-0.17878,1451112.198,1.3018,-1.2222,1.0124,0.72215,-1.8349,0.18478,0.13828,0.18562,-1.6696,-0.54687,0.42838,0.01083,-221655.8451,-927351.3492,0.012924,0.0096665,0.023388,0.012484,0.025292,-44784.1203,-124.3923,239.8786,-118350.4003,244.7962,250.2758,132.7718,260.6732,248.3157,-455955.8012,-31340.823,0.021944,0.020273,0.012624,-1999942.107,-69109.9484,-4290361.375,0.011804,0.0
1.0394,1950179.961,1.1972,-1.0148,1.0642,1.3377,0.63757,0.31693,0.96335,0.22573,-0.86676,-0.41845,0.25925,0.016761,-192125.3996,-806217.6809,0.015324,0.016043,0.032616,0.015481,0.030296,-38462.9049,-183.3317,230.3366,-102329.7665,234.6006,240.7338,130.8867,251.131,237.4766,-395818.8216,-26800.4751,0.031574,0.033133,0.01905,-1740521.944,-59572.132,-3737217.039,0.016705,1.0
0.89372,1782870.302,1.2721,-1.0168,0.94483,2.0072,0.61079,0.21763,1.2571,0.22231,-1.2428,-0.19143,0.23047,0.014025,-193993.3106,-813891.7001,0.015795,0.01504,0.030186,0.013653,0.025869,-38843.4221,-216.2302,230.9613,-103334.8738,235.2665,241.3585,131.0142,251.7557,238.186,-399617.254,-27069.3558,0.029794,0.030295,0.019869,-1756963.346,-60160.9795,-3772286.585,0.015894,1.0
0.80291,1732494.937,1.2193,-2.0082,0.27346,2.1867,1.4095,0.22003,1.0681,0.18892,-1.1462,-0.93807,0.222,0.011964,-195132.9348,-818834.2889,0.014201,0.014801,0.030517,0.01359,0.029536,-39041.9801,-127.9976,231.3644,-103916.1376,235.6918,241.7616,131.0956,252.1589,238.6192,-402039.6645,-27199.4287,0.026886,0.028678,0.018993,-1767552.067,-60484.5125,-3794870.009,0.013054,1.0
2.4564,926886.8032,1.2503,-1.6899,0.97747,-0.79206,-0.22902,0.24065,1.2316,0.15147,-0.96903,-1.6486,0.31557,0.015619,-217568.9524,-910738.631,0.015861,0.01577,0.030303,0.011934,0.023695,-43837.4512,-119.7738,238.6108,-116079.5672,243.4413,249.008,132.5281,259.4057,246.8633,-447704.8694,-30640.7717,0.033573,0.031199,0.012852,-1964376.777,-67719.6907,-4214546.22,0.013333,1.0
1.9696,1652716.649,1.2018,-2.1382,1.4436,-0.45484,-0.054811,0.37252,1.6658,0.16037,-0.60916,-1.5043,0.41076,0.017871,-209574.4455,-880413.0102,0.01457,0.017825,0.02969,0.01657,0.033632,-41443.7231,-28.6846,236.1721,-111394.3874,239.9517,246.5626,131.9426,257.4226,243.3982,-430515.8878,-28957.6666,0.034883,0.03932,0.020774,-1899132.616,-64577.284,-4070305.38,0.014139,1.0
2.0842,1560026.626,1.2201,-1.8063,1.0687,-0.84469,-0.37913,0.38972,1.2542,0.14165,-0.79369,-2.5212,0.23763,0.015345,-222041.0772,-929071.9925,0.012748,0.014977,0.033066,0.015203,0.030455,-44807.3648,-111.8804,240.0083,-118521.0047,244.9399,250.4056,132.7965,260.8039,248.4505,-456842.9452,-31338.1442,0.030146,0.034796,0.016292,-2003624.723,-69175.0273,-4298197.081,0.012667,1.0
-1.7773,1066338.095,1.1285,-1.0501,-0.26092,-0.27606,-0.9642,0.23871,1.445,0.22472,-0.49379,0.44102,0.25199,0.012156,-233159.5292,-975100.6742,0.014391,0.013278,0.02579,0.014596,0.027741,-47066.0147,-120.0981,243.4553,-124465.4059,248.5811,253.8525,133.4486,264.2498,252.3251,-479447.5238,-32946.4422,0.021846,0.023462,0.013783,-2102144.669,-72655.0147,-4508175.007,0.0088919,0.0
-1.4547,1587016.51,1.1576,-0.56811,-1.2093,0.19045,-0.36811,0.2871,1.567,0.2045,-0.8986,-0.012003,0.208,0.014888,-232480.5396,-972410.3369,0.013429,0.015491,0.02747,0.014519,0.030306,-46875.8717,-122.0418,243.2556,-124060.2075,248.3666,253.6529,133.4114,264.0501,252.0911,-478102.1104,-32798.5289,0.030072,0.030994,0.013687,-2096387.081,-72390.4008,-4495906.8,0.01448,0.0
-2.0754,1540684.566,1.1787,-0.89505,-0.64366,0.12843,-0.54786,0.23362,1.561,0.19286,-0.86242,-0.24275,0.23008,0.014707,-231829.4206,-969114.4165,0.016186,0.01901,0.03537,0.015682,0.034908,-46889.4315,-127.3662,243.0112,-123816.4235,248.1239,253.4085,133.3656,263.8058,251.8663,-476581.5104,-32847.0611,0.026513,0.039542,0.016725,-2089333.291,-72327.2485,-4480873.642,0.017448,0.0
-0.69796,747486.646,1.2171,-0.00094187,0.17223,0.050835,-1.3678,0.3335,2.9202,0.19316,-1.5254,-0.4823,0.29184,0.019675,-184890.7547,-776679.8763,0.019984,0.029842,0.047778,0.021876,0.045963,-36862.9754,-108.1728,227.891,-98375.3979,231.9699,238.2882,130.3842,248.6859,234.6813,-381067.3078,-25645.3294,0.042796,0.060627,0.027368,-1677228.409,-57191.8065,-3602188.858,0.01818,1.0
-0.4053,1115430.061,1.2101,0.27262,0.19759,0.21045,-1.4006,0.31546,3.3099,0.19762,-1.7582,-0.55041,0.31139,0.01888,-186948.449,-786000.4001,0.023386,0.029139,0.046173,0.023779,0.050014,-37119.5166,-86.2196,228.6685,-99347.2051,232.7665,239.0658,130.5446,249.4635,235.4826,-385498.649,-25787.0762,0.041852,0.06002,0.031048,-1697200.935,-57670.2953,-3644798.714,0.018331,1.0
-0.39154,1474142.212,1.2015,0.64756,0.49698,0.42486,-1.4385,0.34615,3.0958,0.23857,-1.7303,-0.20719,0.33151,0.019472,-185395.8697,-779690.3071,0.024424,0.033347,0.048919,0.029198,0.059499,-36733.0118,-81.5986,228.1412,-98494.7333,232.1883,238.5387,130.4355,248.9377,234.877,-382288.4611,-25502.1583,0.04173,0.071315,0.025251,-1683677.604,-57135.0738,-3615928.817,0.02785,1.0
2.2098,2198559.852,1.2964,-1.5733,-0.037773,0.8968,1.1675,0.25226,2.5756,0.21923,-2.224,-0.75228,0.44123,0.017219,-245195.761,-1026471.625,0.016129,0.021311,0.034269,0.016419,0.041784,-49073.9468,-67.3193,247.1942,-130606.6752,252.484,257.5919,134.1402,267.9909,256.4013,-504376.0238,-34268.7917,0.034132,0.04451,0.022648,-2212061.497,-76003.4086,-4742343.443,0.016666,1.0
1.4802,1864392.371,1.2759,-1.4586,-0.10917,1.3409,1.1215,0.30507,1.825,0.17932,-1.9145,-0.87935,0.32698,0.018864,-246618.967,-1034757.547,0.017704,0.018379,0.036329,0.020675,0.037849,-48544.0617,-61.3129,247.8315,-130707.3859,253.0776,258.2306,134.2481,268.6291,256.9381,-507954.0418,-33703.1788,0.036551,0.039075,0.01982,-2229773.123,-75650.3102,-4780073.942,0.019762,1.0
1.3793,2270097.718,1.2303,-0.44386,0.28906,2.02,1.0005,0.25594,2.9311,0.21463,-1.1078,-0.83322,0.26927,0.015589,-218065.364,-909727.557,0.01768,0.018959,0.038916,0.016304,0.031645,-44783.3576,-18.7329,239.443,-116957.4328,241.9695,249.824,132.3423,260.8999,246.292,-446279.3296,-31726.6035,0.031478,0.037826,0.019825,-1961741.695,-68749.8101,-4201086.058,0.018887,1.0
-0.099732,1357371.539,1.3665,-4.9563,-0.90121,-0.40403,0.34529,0.32878,-0.98526,0.15071,-1.5772,-0.26338,0.32512,0.020471,-231042.8931,-965908.438,0.021465,0.02239,0.044486,0.024518,0.04931,-46768.0332,-162.6682,242.7741,-123433.7933,247.8779,253.1713,133.321,263.5685,251.5952,-475037.9085,-32766.3475,0.037048,0.043458,0.026991,-2082472.026,-72117.8695,-4466254.435,0.023676,1.0
-0.22312,955046.4535,1.3633,-4.742,-0.71593,-0.11338,-0.08269,0.37407,-0.75193,0.15186,-1.6758,-0.085573,0.39823,0.023146,-233500.7926,-975584.8065,0.027164,0.026554,0.062673,0.028824,0.061429,-47351.5549,-109.9382,243.4899,-124792.6156,248.6594,253.8872,133.4553,264.2845,252.4417,-479945.8429,-33197.1902,0.051558,0.064776,0.028128,-2103180.524,-72958.6948,-4510382.369,0.02605,1.0
0.7287,1714462.33,1.3476,-4.9157,-0.94131,0.1205,0.84135,0.26472,-2.1551,0.12591,-1.3842,-0.34678,0.26575,0.014453,-227290.1769,-951054.9282,0.018003,0.02206,0.04007,0.021889,0.043944,-45791.8622,-121.4315,241.6653,-121270.0245,246.669,252.0626,133.112,262.4599,250.2925,-467504.4628,-32026.1521,0.032733,0.045938,0.027367,-2050681.032,-70742.0147,-4398503.292,0.016832,1.0
2.7,1675916.155,1.2891,-3.5309,-0.028535,2.0096,0.89633,0.28053,-0.28259,0.16696,-0.62822,0.48268,0.28904,0.01851,-204002.4492,-853759.2617,0.023245,0.025185,0.046488,0.023826,0.051975,-41207.5026,-78.9491,234.1711,-108872.0428,238.7474,244.5684,131.6576,254.9662,241.9398,-419715.4155,-28814.9239,0.039453,0.053427,0.035015,-1842362.52,-63591.7579,-3954406.814,0.02578,1.0
2.8563,1585178.976,1.2996,-4.0145,0.17786,1.2725,0.49398,0.38222,0.28409,0.15116,-1.3619,0.47151,0.46006,0.025985,-215339.4587,-901170.0841,0.025489,0.027739,0.057324,0.029549,0.065228,-43006.9306,-144.7938,237.9603,-114657.7496,242.7557,248.3576,132.3859,258.7549,246.1659,-442863.1688,-29989.313,0.05624,0.067876,0.035557,-1943890.37,-66605.2361,-4170879.127,0.021444,1.0
1.5701,1577201.586,1.2995,-3.9656,0.23371,1.8611,0.82009,0.32445,0.51097,0.14466,-0.87028,-0.032642,0.33975,0.018823,-207197.8608,-868569.9417,0.020712,0.024038,0.042351,0.022701,0.045723,-41587.0586,-95.4718,235.3349,-110441.3178,239.8844,245.7324,131.8883,256.1336,243.1063,-426449.4745,-29040.8356,0.045785,0.057457,0.033879,-1874080.071,-64348.5978,-4021993.626,0.016187,1.0
1.0353,1570546.777,1.2205,-2.3516,0.67992,1.4234,-0.066652,0.43535,-0.078299,0.17389,-2.4871,-0.18654,0.31842,0.016909,-209104.6879,-876336.836,0.024861,0.022113,0.066425,0.019498,0.04346,-41978.8509,-119.3257,235.9469,-111460.6984,240.5703,246.3442,132.0094,256.7414,243.8106,-430473.3796,-29302.4664,0.037752,0.049459,0.032768,-1890716.015,-64945.6147,-4057515.958,0.020804,1.0
