mean_MFCC_3rd_coef,GNE_SNR_SEO,VFER_NSR_SEO,mean_MFCC_4th_coef,mean_MFCC_9th_coef,mean_MFCC_8th_coef,mean_MFCC_7th_coef,std_MFCC_10th_coef,mean_MFCC_2nd_coef,IMF_NSR_entropy,mean_MFCC_6th_coef,mean_MFCC_5th_coef,std_MFCC_9th_coef,std_12th_delta_delta,app_LT_entropy_shannon_6_coef,app_LT_entropy_shannon_8_coef,std_10th_delta_delta,std_8th_delta_delta,std_10th_delta,std_9th_delta_delta,std_9th_delta,app_LT_entropy_shannon_3_coef,det_LT_entropy_log_10_coef,app_entropy_log_8_coef,app_LT_entropy_shannon_5_coef,app_entropy_log_7_coef,app_entropy_log_9_coef,app_LT_entropy_log_8_coef,app_entropy_log_10_coef,app_entropy_log_6_coef,app_LT_entropy_shannon_7_coef,app_LT_entropy_shannon_2_coef,std_12th_delta,std_8th_delta,std_6th_delta_delta,app_LT_entropy_shannon_9_coef,app_LT_entropy_shannon_4_coef,app_LT_entropy_shannon_10_coef,std_11th_delta_delta,meanHarmToNoiseHarmonicity,meanPeriodPulses,RPDE,DFA,app_LT_entropy_log_9_coef,app_LT_TKEO_std_9_coef,app_LT_TKEO_std_4_coef,app_LT_TKEO_mean_8_coef,app_LT_TKEO_mean_4_coef,app_LT_TKEO_std_2_coef,app_LT_TKEO_std_3_coef,app_LT_TKEO_std_5_coef,app_LT_entropy_log_10_coef,app_LT_TKEO_mean_7_coef,app_LT_TKEO_std_8_coef,app_LT_TKEO_std_10_coef,app_LT_TKEO_std_6_coef,app_LT_TKEO_std_7_coef,app_LT_TKEO_mean_5_coef,app_LT_TKEO_mean_10_coef,app_LT_TKEO_mean_9_coef,app_LT_TKEO_mean_6_coef,f2,f1,class
-2.0275,1333792.265,1.4238,-1.4786,-1.4838,1.5187,0.12373,0.299,0.81669,0.12814,-2.5354,-0.6259,0.3344,0.012823,-252375.5243,-1053662.673,0.011471,0.020466,0.029038,0.021287,0.044203,-51200.716,-170.3789,249.1377,-134903.1083,254.6578,259.5349,134.494,269.9321,258.7874,-518520.1999,-35923.4352,0.028896,0.041909,0.027823,-2270234.511,-78879.1156,-4866287.304,0.012387,19.889,0.003956114,0.61745,0.67256,144.8912,5514.3104,133.0292,1045.0212,37.6573,21.9146,55.3601,301.123,155.2884,489.6797,2757.9747,11029.8965,649.8991,1339.4139,97.8902,4179.611,2089.9787,230.3802,1247.116884,677.2253757,1.0
-2.7049,1747991.318,1.318,-2.0298,-0.95541,1.5218,0.3648,0.19192,0.7111,0.15086,-2.3347,-1.3457,0.34364,0.014688,-253847.2704,-1059367.892,0.013976,0.01625,0.03438,0.015845,0.035158,-51584.116,-140.9319,249.5406,-135744.292,255.0962,259.9379,134.5668,270.3351,259.2703,-521408.4212,-36216.3046,0.037605,0.041854,0.024836,-2282438.277,-79416.4786,-4892281.535,0.0098161,27.095,0.003872688,0.44555,0.58326,144.964,5543.0336,133.5346,1049.8592,37.8173,22.0993,55.6475,302.3918,155.3612,491.8951,2769.814,11083.4259,652.8277,1345.8995,98.3402,4199.7667,2099.6908,231.4296,1285.817993,751.6864723,1.0
-2.0113,1582786.751,1.1749,-1.0458,-1.0169,0.68748,-0.23263,0.25388,3.1396,0.18682,-1.1977,0.16759,0.24943,0.016662,-253438.1885,-1057503.672,0.017394,0.016488,0.035859,0.015837,0.02974,-51551.9876,-105.5237,249.4149,-135557.3422,254.9793,259.8121,134.5429,270.2096,259.1426,-520597.0998,-36199.61,0.032368,0.032304,0.016312,-2278450.261,-79332.7159,-4883782.31,0.01411,6.301,0.003924152,0.78026,0.78996,144.9401,5546.6971,134.0329,1052.4571,37.9527,22.1749,55.9319,303.7988,155.3374,493.4033,2780.8476,11101.1814,655.7354,1348.1929,98.6979,4206.8681,2104.7227,232.1955,1256.570863,493.1873293,1.0
-1.7587,1345257.73,1.2401,-2.2904,-1.3072,0.73882,-0.22014,0.20797,3.0062,0.18136,-1.072,0.5178,0.23997,0.015051,-251942.6621,-1051764.651,0.016572,0.015236,0.03468,0.018274,0.039119,-51140.2795,-146.0787,249.0042,-134691.5833,254.5218,259.4014,134.4696,269.7987,258.646,-517620.3051,-35885.958,0.031368,0.032436,0.018796,-2266174.388,-78769.1705,-4857638.496,0.01661,12.354,0.006316424,0.70809,0.76831,144.8668,5508.8857,132.9956,1044.3195,37.639,21.9111,55.3693,301.114,155.264,489.4014,2756.9377,11020.6905,649.6593,1338.4137,97.8588,4176.1961,2088.5436,230.2772,1241.232495,487.8220627,1.0
-1.8396,1669174.207,1.2113,-2.5196,-1.1697,0.42153,0.18847,0.28338,3.8325,0.17821,-1.5939,0.49,0.24057,0.014959,-253849.5463,-1059849.647,0.016949,0.017433,0.041522,0.016751,0.03587,-51488.8364,-144.7267,249.5758,-135672.9949,255.1164,259.973,134.573,270.3702,259.2721,-521533.1824,-36126.1063,0.032203,0.036074,0.019495,-2283468.819,-79323.4767,-4894476.426,0.016667,13.735,0.006624185,0.6918,0.77992,144.9702,5538.3407,133.2709,1048.9559,37.7796,22.053,55.6331,301.926,155.3674,491.5308,2767.2569,11074.8059,652.2783,1344.4851,98.274,4196.5425,2097.9498,231.3107,1166.500244,532.1190414,1.0
-0.72286,1658428.668,1.3696,-1.7518,0.0056289,1.4283,-1.1952,0.18723,1.6047,0.19008,-2.9687,-0.48544,0.26389,0.014153,-205063.4694,-859468.8244,0.012826,0.017061,0.027502,0.018456,0.037678,-41167.9035,-153.9987,234.6191,-109308.3089,239.162,245.0163,131.7477,255.4136,242.3282,-422162.0213,-28732.8816,0.030997,0.031869,0.023655,-1854591.921,-63692.1966,-3980491.186,0.012336,27.642,0.006433293,0.33216,0.61483,142.1449,4585.65,110.5168,867.9692,31.2867,18.2444,46.0159,250.3007,152.5421,406.7473,2288.8051,9166.5885,540.0123,1112.1852,81.3386,3473.3359,1736.0252,191.4031,1081.275302,600.5084218,1.0
-0.99284,1731942.346,1.3761,-0.99756,-0.22861,1.0557,-0.74146,0.15253,0.72048,0.19805,-2.8914,-0.88049,0.23825,0.014588,-200798.7246,-841972.3802,0.010393,0.016514,0.020222,0.016145,0.032609,-40254.6774,-133.8304,233.2274,-106993.6511,237.6746,243.6246,131.4707,254.022,240.7471,-413475.662,-28076.7818,0.030756,0.038199,0.026233,-1817117.373,-62315.594,-3900578.239,0.011426,25.185,0.006754263,0.37051,0.62018,141.8679,4500.2359,108.4572,851.631,30.6966,17.9249,45.1511,245.5245,152.2651,399.1102,2245.3872,8994.973,529.9628,1091.1136,79.8143,3408.2716,1703.3725,187.8102,1073.178259,590.7963713,1.0
-0.76915,1363345.827,1.3151,-0.77755,0.43487,0.80106,-0.9714,0.17066,1.4756,0.22904,-2.9155,-1.1332,0.18934,0.018134,-194529.5017,-816293.1185,0.011313,0.012496,0.024342,0.013297,0.030791,-38909.1193,-125.9157,231.1564,-103590.1001,235.4626,241.5537,131.0538,251.9509,238.3892,-400737.4611,-27108.3141,0.034829,0.023334,0.02232,-1762108.023,-60287.1856,-3783258.73,0.01254,26.686,0.007256724,0.37031,0.63124,141.451,4376.6136,105.5684,828.5648,29.8783,17.4155,43.9405,239.0198,151.8482,388.3877,2185.1988,8749.9743,515.9569,1061.1468,77.6752,3315.5187,1657.2259,182.7769,1036.794374,562.3489087,1.0
-0.50685,1933826.091,1.2529,-1.034,0.82021,1.4985,-0.41223,0.31555,1.1404,0.16788,-1.2538,-0.62675,0.31897,0.012775,-200017.4205,-838786.9103,0.016261,0.015875,0.035743,0.017336,0.041319,-40067.5087,-147.5028,232.9906,-106553.8176,237.4244,243.3879,131.4197,253.7851,240.4742,-411917.2959,-27935.6579,0.031007,0.037715,0.011937,-1810294.212,-62035.8448,-3886029.174,0.017759,23.084,0.006824086,0.44583,0.66085,141.8169,4488.4308,108.3847,850.2446,30.6696,18.0573,45.4312,246.004,152.2141,398.7261,2243.657,8976.4395,530.3759,1088.259,79.8314,3401.4709,1700.5938,187.7494,1233.233624,674.2928811,1.0
-0.30496,2218999.261,1.1719,-0.41464,0.87948,1.5803,-0.43204,0.28027,1.3162,0.20006,-0.80136,-0.90073,0.24248,0.013495,-200833.018,-841692.9122,0.021562,0.011861,0.048075,0.013586,0.03152,-40383.9513,-115.6092,233.2055,-107096.4885,237.6814,243.6027,131.4662,254.0001,240.7603,-413512.5441,-28190.8269,0.028775,0.026959,0.017245,-1816518.668,-62439.2111,-3899300.758,0.013402,23.753,0.006693036,0.36714,0.71199,141.8634,4515.5858,109.1429,856.6153,30.8971,17.9924,45.4218,247.3907,152.2606,401.6264,2262.9611,9036.5424,533.7757,1096.9676,80.3225,3424.418,1713.0838,188.9878,1205.012396,634.0314868,1.0
-0.66248,2179452.108,1.2225,-0.81113,1.234,1.5678,-1.0357,0.25292,0.45448,0.18063,-1.3711,-0.91019,0.20548,0.011047,-202234.1089,-847750.1216,0.011256,0.017955,0.025738,0.013248,0.032059,-40605.4446,-246.7032,233.6888,-107802.1687,238.1782,244.086,131.5628,254.4832,241.2814,-416404.7859,-28335.8898,0.022199,0.039864,0.013618,-1829492.996,-62819.4822,-3926971.495,0.010968,26.489,0.006623612,0.36176,0.62901,141.9601,4534.6787,109.4199,859.1313,30.9738,18.0712,45.5463,247.7904,152.3573,402.6758,2267.1417,9069.1158,534.792,1100.6749,80.5293,3436.5755,1718.2618,189.4873,1186.320411,683.0342196,1.0
3.0083,1110514.977,1.2211,-0.86812,-0.36397,0.075968,1.6874,0.20787,1.4909,0.17423,-0.319,-0.62589,0.2255,0.014045,-191071.8487,-800973.6386,0.013703,0.016602,0.024871,0.015278,0.028612,-38484.4215,-86.5946,230.2889,-101948.15,234.5894,240.6863,130.7982,251.0843,237.4777,-393530.5746,-26863.1504,0.027229,0.031802,0.020392,-1729284.534,-59457.7879,-3713229.039,0.018524,7.254,0.007226883,0.71652,0.81029,141.1954,4336.4138,105.4189,824.1959,29.8471,17.2138,44.0557,239.5554,151.5927,386.4488,2180.8832,8685.4304,513.4794,1055.5383,77.2721,3291.5081,1647.9645,181.7788,1147.07239,468.3875629,1.0
1.9919,1796323.599,1.2642,-1.9116,-0.5831,0.081758,1.1016,0.23628,1.2594,0.16374,0.23323,-1.3788,0.24879,0.017249,-146564.0696,-619549.409,0.018026,0.019807,0.040198,0.017999,0.028858,-28653.296,-90.7326,214.504,-77588.9356,217.6202,224.9017,127.3472,235.2994,219.3357,-303146.3012,-19748.5529,0.031849,0.040042,0.017552,-1340262.608,-44811.0332,-2882853.673,0.017454,7.194,0.009677449,0.75672,0.73507,137.7444,3405.2447,82.739,645.5057,23.3566,13.6937,34.1667,186.4061,148.1416,302.7639,1703.426,6814.5812,402.3759,825.5395,60.547,2582.3354,1291.088,142.4401,1215.341781,592.5682545,1.0
2.2096,1827286.714,1.2796,-1.2621,-0.45646,0.39812,1.4846,0.17768,1.2099,0.16036,0.01602,-1.1625,0.23133,0.01578,-142632.5924,-600516.7472,0.013248,0.016773,0.02318,0.018224,0.032941,-27831.1907,-39.6435,212.1808,-75521.7923,215.3009,222.5955,126.8821,233.0866,216.7622,-295288.9344,-19072.0513,0.025352,0.027149,0.016459,-1299325.674,-43568.107,-2793887.557,0.015197,3.425,0.00718394,0.6648,0.77921,137.2798,3524.4567,96.0176,686.5067,25.9452,16.1077,37.9688,217.4573,147.6822,329.9405,1880.4393,7116.9945,464.7843,874.2514,67.0955,2694.2312,1370.6836,156.4371,1194.092048,545.7672356,1.0
-1.7211,1555852.562,1.3214,-0.19772,-0.10371,0.31799,-0.15936,0.32932,1.0426,0.19453,-0.54426,0.039771,0.23721,0.012295,-192413.5087,-807303.0858,0.016778,0.018367,0.035579,0.016272,0.034424,-38554.8187,-159.1938,230.4235,-102510.5662,234.6919,240.8207,130.9047,251.218,237.5844,-396348.5639,-26877.0306,0.024478,0.041236,0.019124,-1742847.377,-59697.2091,-3742176.017,0.011764,19.116,0.007371105,0.4662,0.67313,141.3019,4336.6178,104.4056,820.7694,29.5684,17.2685,43.5205,236.4329,151.6992,384.5524,2164.2082,8668.1956,510.3848,1052.1558,76.8998,3284.4724,1641.6113,180.9425,1352.338716,597.0531046,1.0
-2.0757,1770282.403,1.3067,-0.92052,-0.12041,0.027319,-0.39805,0.27835,0.18971,0.16345,-1.1305,0.024052,0.27468,0.017662,-200937.795,-842821.9145,0.02165,0.018328,0.039957,0.019969,0.039673,-40222.4423,-106.6072,233.2954,-107021.4633,237.7327,243.6927,131.4842,254.0903,240.799,-413812.7366,-28041.9554,0.033544,0.036403,0.021007,-1818936.762,-62300.0964,-3904455.014,0.013396,23.072,0.006776156,0.47446,0.62426,141.8814,4497.8116,108.2069,850.6654,30.6476,17.8803,45.1075,244.9871,152.2786,398.6139,2241.6777,8987.7571,529.174,1089.9971,79.7024,3405.4227,1701.5239,187.5747,1329.57348,605.9428457,1.0
-2.0148,1876014.433,1.2834,-0.25183,-0.3844,0.54048,-0.28884,0.23096,-0.69319,0.13959,-1.4919,0.20816,0.21716,0.010635,-203165.9941,-852139.9374,0.016996,0.014098,0.035577,0.014874,0.031681,-40646.1156,-101.676,234.0377,-108198.5022,238.5175,244.4349,131.6322,254.8326,241.6266,-418388.3226,-28333.9342,0.021635,0.027836,0.021635,-1838894.724,-62971.8972,-3947013.781,0.013278,22.266,0.006642625,0.56243,0.62982,142.0294,4539.7003,109.3117,858.4783,30.9384,18.0399,45.4943,247.3338,152.4266,402.2714,2261.9618,9071.0983,533.9567,1099.9593,80.4407,3436.9683,1717.1741,189.2949,1355.202945,614.1762786,1.0
-0.88695,1740469.397,1.2876,-2.3027,0.66879,0.11701,0.64539,0.1783,3.2723,0.18479,-2.9225,-1.2681,0.17059,0.013321,-214814.6103,-899781.82,0.015509,0.015166,0.030245,0.012988,0.025526,-43166.7052,-125.0536,237.7689,-114528.9319,242.5155,248.1662,132.3651,258.5634,245.8782,-442102.4298,-30148.2639,0.029266,0.031963,0.020198,-1940918.258,-66753.6757,-4164545.401,0.015811,23.641,0.005820732,0.46038,0.60863,142.7623,4777.3843,115.1669,904.7767,32.6238,19.0762,48.0324,260.9644,153.1595,424.136,2386.812,9553.2303,563.5192,1158.6968,84.8341,3619.9654,1809.6368,199.6127,1121.59864,690.9035785,1.0
-0.79222,1302566.281,1.2806,-1.9128,0.031229,0.19546,0.0019819,0.21631,2.9799,0.1746,-2.3348,-1.3332,0.16888,0.019792,-215181.2547,-901327.0024,0.013574,0.01543,0.026293,0.012928,0.025139,-43240.3588,-134.2617,237.8876,-114730.6596,242.6451,248.2849,132.3883,258.6821,246.0093,-442886.6251,-30197.0631,0.042857,0.031196,0.022728,-1944226.65,-66868.3045,-4171598.568,0.013521,25.301,0.005805192,0.43513,0.61289,142.7855,4787.9682,115.5996,907.5427,32.7383,19.107,48.1458,262.051,153.1827,425.4966,2395.5935,9578.6763,565.3294,1162.0273,85.1172,3629.7689,1815.0855,200.2588,1200.32956,684.0394336,1.0
-1.2067,1660437.787,1.2592,-1.883,0.58156,-0.073581,0.92409,0.19122,2.7498,0.19447,-2.3194,-2.0219,0.17488,0.012984,-213645.2284,-894565.1679,0.014903,0.015188,0.027062,0.011823,0.02148,-43037.3134,-157.9624,237.3654,-113982.8382,242.105,247.7626,132.2868,258.1598,245.4568,-439637.2066,-30081.0397,0.026606,0.028782,0.018554,-1929748.719,-66491.1529,-4140734.166,0.014286,24.249,0.005837888,0.39889,0.60437,142.684,4761.293,114.8171,902.2466,32.5225,18.9908,47.8502,260.2484,153.0812,422.8529,2381.2614,9523.1619,561.5464,1156.082,84.5681,3608.6516,1804.4584,198.9697,1132.271131,695.4980887,1.0
-0.35011,474091.1227,1.182,0.93677,1.3139,1.4231,-1.4172,0.32343,2.2431,0.15081,-2.8153,-0.8563,0.34009,0.023139,-174224.2859,-732376.8947,0.018476,0.028675,0.039502,0.020066,0.04257,-34731.4377,-173.7681,224.1321,-92698.1712,227.9874,234.5293,129.5946,244.9265,230.4548,-359282.4124,-24142.6298,0.0475,0.060866,0.035266,-1582269.097,-53887.8639,-3399568.762,0.020189,13.831,0.009104241,0.69379,0.66429,139.9918,3978.5293,96.007,753.944,27.1881,15.8982,40.0546,217.8119,150.389,353.4215,1989.9325,7957.8222,469.6374,965.679,70.705,3015.5009,1507.8787,166.315,910.7400221,528.7586345,1.0
-0.67505,921917.5999,1.1958,0.19772,1.1839,1.1559,-1.8479,0.33796,3.1951,0.10887,-3.2328,-1.4312,0.26292,0.020497,-191251.5203,-801421.5011,0.025371,0.028496,0.056539,0.022234,0.045912,-38064.8861,-50.8705,230.6204,-101759.8101,234.9687,241.0361,130.7884,251.531,237.6525,-394411.6803,-26394.5493,0.044465,0.062735,0.02926,-1730202.117,-59104.0971,-3714450.987,0.017751,17.369,0.007782401,0.62249,0.64823,141.1858,4449.0582,115.825,859.7566,31.8742,19.426,46.5419,262.1114,151.5851,408.8849,2319.3907,8975.0169,562.0095,1089.8503,82.5912,3401.0285,1717.7641,193.2497,844.8489011,520.5188847,1.0
-0.98671,788009.8375,1.2037,0.32703,1.1349,1.2059,-2.0486,0.36987,1.7388,0.12861,-3.5045,-1.3998,0.35878,0.025805,-187564.6264,-786020.4042,0.023247,0.032249,0.050677,0.026831,0.058085,-37256.3792,-45.8355,229.36,-99741.31,233.61,239.7819,130.52,250.2961,236.1554,-386968.032,-25796.3764,0.058394,0.071231,0.032941,-1697184.548,-57889.752,-3643724.251,0.019677,17.581,0.00815993,0.59772,0.64326,140.9175,4404.0955,116.1524,853.3995,31.8034,19.8348,46.5082,262.7353,151.3176,407.1829,2312.7845,8890.1961,563.7581,1082.4349,82.3967,3368.118,1704.7367,192.6618,903.322809,541.9708101,1.0
-1.6492,1370539.628,1.3256,-1.1908,0.16247,0.94685,-1.2169,0.27621,0.92812,0.17931,-2.2551,0.73504,0.22126,0.011646,-225237.2859,-941793.802,0.023343,0.016144,0.045458,0.015386,0.029962,-45552.1073,-112.0091,240.9702,-120297.9566,245.9668,251.3674,132.9801,261.7647,249.5754,-463155.3466,-31895.0064,0.026178,0.031757,0.019955,-2030857.914,-70268.1824,-4356255.826,0.015571,24.058,0.005138503,0.26212,0.66846,143.3773,4993.8275,120.7146,946.6226,34.1426,19.9472,50.2147,273.4497,153.7745,443.7527,2499.4224,9989.3808,589.6468,1212.5364,88.7626,3785.3604,1893.1485,208.8233,1204.506346,577.9882193,0.0
-0.54978,1693327.298,1.3528,-1.5476,0.91054,0.8656,-1.8423,0.36293,-0.12565,0.16142,-1.9683,-0.053167,0.39824,0.011686,-224089.93,-936911.9646,0.01637,0.011375,0.03166,0.013958,0.029788,-45351.0372,-103.8881,240.603,-119700.1216,245.582,251.0002,132.91,261.3975,249.1736,-460777.8397,-31760.913,0.023839,0.02346,0.011495,-2020407.935,-69936.3459,-4333982.913,0.012079,20.883,0.006607654,0.33526,0.64898,143.3072,4973.5803,120.1311,942.8777,34.0018,19.8872,50.0405,272.3235,153.7044,442.0328,2489.869,9949.1236,587.5727,1207.5821,88.4149,3770.107,1885.6356,208.0133,1199.841112,583.5872685,0.0
