tqwt_minValue_dec_18,tqwt_entropy_log_dec_34,tqwt_meanValue_dec_11,tqwt_entropy_shannon_dec_16,tqwt_entropy_log_dec_35,tqwt_entropy_log_dec_14,tqwt_entropy_log_dec_26,tqwt_stdValue_dec_17,tqwt_minValue_dec_14,tqwt_entropy_log_dec_11,tqwt_entropy_log_dec_28,tqwt_maxValue_dec_16,tqwt_entropy_log_dec_32,tqwt_entropy_log_dec_12,tqwt_entropy_log_dec_13,tqwt_minValue_dec_15,tqwt_meanValue_dec_5,tqwt_entropy_log_dec_10,tqwt_kurtosisValue_dec_36,tqwt_energy_dec_17,tqwt_entropy_shannon_dec_20,tqwt_meanValue_dec_7,tqwt_stdValue_dec_16,tqwt_maxValue_dec_15,tqwt_entropy_shannon_dec_15,tqwt_maxValue_dec_18,tqwt_meanValue_dec_34,tqwt_maxValue_dec_17,tqwt_stdValue_dec_15,tqwt_maxValue_dec_14,tqwt_entropy_log_dec_33,tqwt_minValue_dec_16,mean_MFCC_3rd_coef,GNE_SNR_SEO,VFER_NSR_SEO,mean_MFCC_4th_coef,mean_MFCC_9th_coef,mean_MFCC_8th_coef,mean_MFCC_7th_coef,std_MFCC_10th_coef,mean_MFCC_2nd_coef,IMF_NSR_entropy,mean_MFCC_6th_coef,mean_MFCC_5th_coef,std_MFCC_9th_coef,meanHarmToNoiseHarmonicity,meanPeriodPulses,RPDE,DFA,app_LT_entropy_log_9_coef,app_LT_TKEO_std_9_coef,app_LT_TKEO_std_4_coef,app_LT_TKEO_mean_8_coef,app_LT_TKEO_mean_4_coef,app_LT_TKEO_std_2_coef,app_LT_TKEO_std_3_coef,app_LT_TKEO_std_5_coef,app_LT_entropy_log_10_coef,app_LT_TKEO_mean_7_coef,app_LT_TKEO_std_8_coef,app_LT_TKEO_std_10_coef,app_LT_TKEO_std_6_coef,app_LT_TKEO_std_7_coef,app_LT_TKEO_mean_5_coef,app_LT_TKEO_mean_10_coef,app_LT_TKEO_mean_9_coef,app_LT_TKEO_mean_6_coef,f2,f1,class
-0.45961,-3820.4723,1.9e-20,683.3022,-3233.3176,-50571.3488,-13360.0213,0.26217,-0.46697,-228867.7004,-7568.6086,0.41289,-5095.6531,-130314.5034,-76138.9219,-0.44238,-4.83e-21,-248400.6524,2.6381,0.20211,211.35,-2.03e-20,0.16973,0.45197,647.4475,0.45961,1.76e-20,0.54419,0.14906,0.45868,-4274.7929,-0.41289,-2.0275,1333792.265,1.4238,-1.4786,-1.4838,1.5187,0.12373,0.299,0.81669,0.12814,-2.5354,-0.6259,0.3344,19.889,0.003956114,0.61745,0.67256,144.8912,5514.3104,133.0292,1045.0212,37.6573,21.9146,55.3601,301.123,155.2884,489.6797,2757.9747,11029.8965,649.8991,1339.4139,97.8902,4179.611,2089.9787,230.3802,1247.116884,677.2253757,1.0
-0.57583,-3672.3149,-1.32e-20,1173.6485,-3241.2701,-46659.0362,-13871.2488,0.37185,-0.5352,-223005.8719,-7584.5798,0.60754,-5063.0473,-119920.305,-69665.4751,-0.57177,6.12e-23,-256646.7576,26.9617,0.31472,200.3955,-7.8e-21,0.26029,0.57824,740.7463,0.57583,0.0,0.8052,0.16877,0.52525,-4338.1476,-0.60754,-2.7049,1747991.318,1.318,-2.0298,-0.95541,1.5218,0.3648,0.19192,0.7111,0.15086,-2.3347,-1.3457,0.34364,27.095,0.003872688,0.44555,0.58326,144.964,5543.0336,133.5346,1049.8592,37.8173,22.0993,55.6475,302.3918,155.3612,491.8951,2769.814,11083.4259,652.8277,1345.8995,98.3402,4199.7667,2099.6908,231.4296,1285.817993,751.6864723,1.0
-0.061831,-4095.7981,1e-20,15.0687,-3595.3165,-105883.4813,-13599.9427,0.019835,-0.060501,-270946.3548,-10169.9268,0.058152,-5024.0618,-202358.5432,-142100.6207,-0.065197,7.04e-22,-316121.6034,73.348,0.029259,9.0784,-1.32e-22,0.016248,0.061039,18.555,0.067925,2.2700000000000004e-21,0.060552,0.016552,0.0704,-4328.0752,-0.058152,-2.0113,1582786.751,1.1749,-1.0458,-1.0169,0.68748,-0.23263,0.25388,3.1396,0.18682,-1.1977,0.16759,0.24943,6.301,0.003924152,0.78026,0.78996,144.9401,5546.6971,134.0329,1052.4571,37.9527,22.1749,55.9319,303.7988,155.3374,493.4033,2780.8476,11101.1814,655.7354,1348.1929,98.6979,4206.8681,2104.7227,232.1955,1256.570863,493.1873293,1.0
-0.094045,-3865.7732,-5.3e-21,31.189,-3444.0081,-85842.1044,-12856.496,0.031757,-0.10157,-263838.7457,-10163.105,0.086816,-4366.3544,-179877.7124,-119083.1503,-0.10425,3.06e-23,-317176.8134,51.6875,0.042679,18.1734,-4.58e-21,0.024835,0.10734,62.3305,0.094045,1.52e-20,0.10662,0.033365,0.10651,-3926.3371,-0.086816,-1.7587,1345257.73,1.2401,-2.2904,-1.3072,0.73882,-0.22014,0.20797,3.0062,0.18136,-1.072,0.5178,0.23997,12.354,0.006316424,0.70809,0.76831,144.8668,5508.8857,132.9956,1044.3195,37.639,21.9111,55.3693,301.114,155.264,489.4014,2756.9377,11020.6905,649.6593,1338.4137,97.8588,4176.1961,2088.5436,230.2772,1241.232495,487.8220627,1.0
-0.12216,-3773.5532,-1.23e-20,37.9129,-3417.1636,-95125.7694,-13927.4619,0.035806,-0.076488,-274236.3595,-9932.3326,0.10593,-4638.6558,-190145.8142,-129201.472,-0.10175,-1.22e-22,-338359.9766,66.2652,0.054485,15.7305,-2.2200000000000002e-21,0.027918,0.097035,37.8686,0.12216,-2.12e-20,0.15341,0.025187,0.077302,-4145.9287,-0.10593,-1.8396,1669174.207,1.2113,-2.5196,-1.1697,0.42153,0.18847,0.28338,3.8325,0.17821,-1.5939,0.49,0.24057,13.735,0.006624185,0.6918,0.77992,144.9702,5538.3407,133.2709,1048.9559,37.7796,22.053,55.6331,301.926,155.3674,491.5308,2767.2569,11074.8059,652.2783,1344.4851,98.274,4196.5425,2097.9498,231.3107,1166.500244,532.1190414,1.0
-1.6358,-4037.5865,0.0,1276.0455,-3321.0018,-43846.0425,-3264.7481,0.52926,-0.58566,-172544.6363,-9806.3966,0.79065,-5857.084,-160088.3573,-81589.5628,-0.76978,0.0,-196527.3145,95.4826,0.15042,899.5423,2.47e-20,0.3091,0.65999,1796.831,1.6358,-1.88e-19,1.0698,0.3285,0.4462,-4862.9374,-0.79065,-0.72286,1658428.668,1.3696,-1.7518,0.0056289,1.4283,-1.1952,0.18723,1.6047,0.19008,-2.9687,-0.48544,0.26389,27.642,0.006433293,0.33216,0.61483,142.1449,4585.65,110.5168,867.9692,31.2867,18.2444,46.0159,250.3007,152.5421,406.7473,2288.8051,9166.5885,540.0123,1112.1852,81.3386,3473.3359,1736.0252,191.4031,1081.275302,600.5084218,1.0
-1.8075,-4001.3696,-1.04e-19,1157.043,-3361.4122,-52454.7502,-3809.7394,0.46233,-0.37159,-165126.1769,-7855.9673,0.71637,-5377.1549,-155256.0038,-89342.3634,-0.67939,9.179999999999999e-23,-189363.0042,36.1932,0.12063,802.002,2.12e-20,0.27971,0.65423,1443.0182,1.8075,7.58e-20,0.97891,0.26831,0.3908,-4534.215,-0.71637,-0.99284,1731942.346,1.3761,-0.99756,-0.22861,1.0557,-0.74146,0.15253,0.72048,0.19805,-2.8914,-0.88049,0.23825,25.185,0.006754263,0.37051,0.62018,141.8679,4500.2359,108.4572,851.631,30.6966,17.9249,45.1511,245.5245,152.2651,399.1102,2245.3872,8994.973,529.9628,1091.1136,79.8143,3408.2716,1703.3725,187.8102,1073.178259,590.7963713,1.0
-1.5745,-4002.4309,7.89e-20,1172.9282,-3399.7489,-56400.5088,-3895.2817,0.41728,-0.26205,-168870.8899,-5146.6815,0.60934,-5425.2728,-162142.6197,-95793.8931,-0.50996,2.45e-22,-203830.5398,90.0073,0.094244,765.2868,-8.99e-21,0.2688,0.50713,1157.2948,1.5745,2.43e-19,0.90976,0.22489,0.2871,-4757.9292,-0.60934,-0.76915,1363345.827,1.3151,-0.77755,0.43487,0.80106,-0.9714,0.17066,1.4756,0.22904,-2.9155,-1.1332,0.18934,26.686,0.007256724,0.37031,0.63124,141.451,4376.6136,105.5684,828.5648,29.8783,17.4155,43.9405,239.0198,151.8482,388.3877,2185.1988,8749.9743,515.9569,1061.1468,77.6752,3315.5187,1657.2259,182.7769,1036.794374,562.3489087,1.0
-1.263,-2314.1312,-1.1e-20,1072.2504,-1942.6818,-54786.6706,-1928.8476,0.43364,-0.54042,-190274.549,-5977.6738,0.83962,-3634.0624,-131842.9335,-80196.2018,-0.75936,-8.080000000000001e-21,-210181.7683,4.1109,0.20268,404.6962,2.11e-21,0.26091,0.76489,858.5983,1.2302,8.25e-19,1.1129,0.19959,0.53446,-2962.9007,-0.87391,-0.50685,1933826.091,1.2529,-1.034,0.82021,1.4985,-0.41223,0.31555,1.1404,0.16788,-1.2538,-0.62675,0.31897,23.084,0.006824086,0.44583,0.66085,141.8169,4488.4308,108.3847,850.2446,30.6696,18.0573,45.4312,246.004,152.2141,398.7261,2243.657,8976.4395,530.3759,1088.259,79.8314,3401.4709,1700.5938,187.7494,1233.233624,674.2928811,1.0
-1.2717,-1758.081,-2.05e-20,755.1587,-1562.1811,-58061.2827,-934.1281,0.34491,-0.54891,-195373.5527,-6350.3851,0.75032,-3077.1599,-141544.2696,-87935.5914,-0.68262,-1.99e-20,-210930.5049,3.8571,0.12596,465.7592,1.52e-20,0.20652,0.65055,683.9512,1.2229,2.18e-19,1.0669,0.16983,0.52758,-2250.7059,-0.74214,-0.30496,2218999.261,1.1719,-0.41464,0.87948,1.5803,-0.43204,0.28027,1.3162,0.20006,-0.80136,-0.90073,0.24248,23.753,0.006693036,0.36714,0.71199,141.8634,4515.5858,109.1429,856.6153,30.8971,17.9924,45.4218,247.3907,152.2606,401.6264,2262.9611,9036.5424,533.7757,1096.9676,80.3225,3424.418,1713.0838,188.9878,1205.012396,634.0314868,1.0
-1.2349,-2500.1626,-3.43e-20,1131.4091,-2164.4239,-59272.9722,-2687.2851,0.44848,-0.37944,-179073.6868,-8184.0043,0.78903,-4129.2209,-143092.6401,-89932.1531,-0.57574,-1.8e-21,-195129.5525,3.0272,0.27032,304.7567,-1.35e-20,0.27111,0.559,656.9798,1.2437,3.7e-19,1.1475,0.15978,0.38685,-3236.7867,-0.7761,-0.66248,2179452.108,1.2225,-0.81113,1.234,1.5678,-1.0357,0.25292,0.45448,0.18063,-1.3711,-0.91019,0.20548,26.489,0.006623612,0.36176,0.62901,141.9601,4534.6787,109.4199,859.1313,30.9738,18.0712,45.5463,247.7904,152.3573,402.6758,2267.1417,9069.1158,534.792,1100.6749,80.5293,3436.5755,1718.2618,189.4873,1186.320411,683.0342196,1.0
-0.40116,-2876.2294,1.21e-19,848.7987,-2412.1762,-57273.1186,-6618.6504,0.17416,-0.93089,-181134.7855,-7270.3224,0.92737,-3456.3139,-120660.7232,-82115.5273,-0.95092,2.35e-20,-206300.3968,3.8795,0.054844,280.692,4.97e-20,0.24405,1.1426,1016.9497,0.39288,7.28e-20,0.60947,0.25447,0.98752,-2968.0158,-0.92008,3.0083,1110514.977,1.2211,-0.86812,-0.36397,0.075968,1.6874,0.20787,1.4909,0.17423,-0.319,-0.62589,0.2255,7.254,0.007226883,0.71652,0.81029,141.1954,4336.4138,105.4189,824.1959,29.8471,17.2138,44.0557,239.5554,151.5927,386.4488,2180.8832,8685.4304,513.4794,1055.5383,77.2721,3291.5081,1647.9645,181.7788,1147.07239,468.3875629,1.0
-0.53628,-2249.0694,-1.3e-19,911.5319,-1799.2464,-62155.3784,-6654.0426,0.21105,-0.71201,-178219.5339,-6811.5961,0.94349,-3440.3922,-123612.7346,-86593.2637,-0.76913,-1.69e-20,-206063.5148,5.0704,0.074528,509.147,5.14e-20,0.24229,0.82611,898.4658,0.54483,4.37e-19,0.7115,0.20427,0.69139,-2856.7938,-0.89522,1.9919,1796323.599,1.2642,-1.9116,-0.5831,0.081758,1.1016,0.23628,1.2594,0.16374,0.23323,-1.3788,0.24879,7.194,0.009677449,0.75672,0.73507,137.7444,3405.2447,82.739,645.5057,23.3566,13.6937,34.1667,186.4061,148.1416,302.7639,1703.426,6814.5812,402.3759,825.5395,60.547,2582.3354,1291.088,142.4401,1215.341781,592.5682545,1.0
-0.5581,-2216.6874,-1.07e-19,752.6508,-1923.5239,-58442.1731,-6808.3418,0.19946,-0.95613,-169777.9407,-5716.3934,0.90336,-3148.7728,-117750.6387,-80100.7218,-0.89854,-1.14e-20,-193147.8331,5.2507,0.072332,342.3638,-1.62e-20,0.21767,0.9239,796.5541,0.57069,7.16e-19,0.70432,0.19944,0.87756,-2682.5748,-0.89656,2.2096,1827286.714,1.2796,-1.2621,-0.45646,0.39812,1.4846,0.17768,1.2099,0.16036,0.01602,-1.1625,0.23133,3.425,0.00718394,0.6648,0.77921,137.2798,3524.4567,96.0176,686.5067,25.9452,16.1077,37.9688,217.4573,147.6822,329.9405,1880.4393,7116.9945,464.7843,874.2514,67.0955,2694.2312,1370.6836,156.4371,1194.092048,545.7672356,1.0
-1.6459,-3368.2931,-9.79e-20,899.8528,-2805.2843,-41516.0464,-807.2327,0.48439,-0.69216,-148017.2261,-2693.5399,0.63849,-4681.0521,-96444.8052,-57133.9668,-0.63033,2.45e-22,-201469.0248,91.769,0.12215,756.438,-1.13e-20,0.21698,0.57157,731.8167,1.6459,2.43e-19,1.0637,0.16847,0.73913,-3922.2129,-0.63849,-1.7211,1555852.562,1.3214,-0.19772,-0.10371,0.31799,-0.15936,0.32932,1.0426,0.19453,-0.54426,0.039771,0.23721,19.116,0.007371105,0.4662,0.67313,141.3019,4336.6178,104.4056,820.7694,29.5684,17.2685,43.5205,236.4329,151.6992,384.5524,2164.2082,8668.1956,510.3848,1052.1558,76.8998,3284.4724,1641.6113,180.9425,1352.338716,597.0531046,1.0
-1.9137,-3688.8884,2.63e-19,1020.6675,-3162.5305,-29362.3713,-2215.6744,0.56282,-0.90103,-129564.4538,-6566.6159,0.89628,-5148.1852,-85682.0169,-46065.2893,-0.73159,-4.89e-22,-174847.954,9.0822,0.1209,599.5949,-4.23e-20,0.24788,0.67147,1379.4513,1.9137,7.89e-20,1.3285,0.27529,0.93619,-4438.4344,-0.89628,-2.0757,1770282.403,1.3067,-0.92052,-0.12041,0.027319,-0.39805,0.27835,0.18971,0.16345,-1.1305,0.024052,0.27468,23.072,0.006776156,0.47446,0.62426,141.8814,4497.8116,108.2069,850.6654,30.6476,17.8803,45.1075,244.9871,152.2786,398.6139,2241.6777,8987.7571,529.174,1089.9971,79.7024,3405.4227,1701.5239,187.5747,1329.57348,605.9428457,1.0
-1.9031,-3800.4002,-2.15e-19,986.0332,-3230.8607,-34881.7774,-1870.3153,0.54996,-0.83659,-130822.2257,-7326.6653,0.69054,-5246.9649,-88686.6302,-50767.2896,-0.60854,1.2e-20,-176788.5372,72.6508,0.1363,454.2216,-3.45e-20,0.24295,0.6253,1043.4278,1.9031,1.03e-19,1.2166,0.21776,0.83659,-4463.661,-0.69054,-2.0148,1876014.433,1.2834,-0.25183,-0.3844,0.54048,-0.28884,0.23096,-0.69319,0.13959,-1.4919,0.20816,0.21716,22.266,0.006642625,0.56243,0.62982,142.0294,4539.7003,109.3117,858.4783,30.9384,18.0399,45.4943,247.3338,152.4266,402.2714,2261.9618,9071.0983,533.9567,1099.9593,80.4407,3436.9683,1717.1741,189.2949,1355.202945,614.1762786,1.0
-1.3782,-3790.6375,1.63e-20,1107.3282,-3214.6285,-68172.3743,-4760.9166,0.45319,-0.22975,-221507.5455,-7610.2649,0.71037,-4845.2693,-170641.4603,-105635.9546,-0.37774,-2.14e-22,-257517.9342,82.9636,0.32036,279.1614,-2.11e-21,0.25907,0.37384,601.9987,1.3782,4.25e-20,1.3296,0.14185,0.22133,-4276.1395,-0.71037,-0.88695,1740469.397,1.2876,-2.3027,0.66879,0.11701,0.64539,0.1783,3.2723,0.18479,-2.9225,-1.2681,0.17059,23.641,0.005820732,0.46038,0.60863,142.7623,4777.3843,115.1669,904.7767,32.6238,19.0762,48.0324,260.9644,153.1595,424.136,2386.812,9553.2303,563.5192,1158.6968,84.8341,3619.9654,1809.6368,199.6127,1121.59864,690.9035785,1.0
-1.6378,-3613.8776,4.38e-20,1273.5817,-3207.0914,-71686.7018,-4118.7587,0.5875,-0.30655,-206937.8736,-7589.2676,0.85959,-4626.5547,-152220.0216,-101777.7427,-0.42124,-2.45e-22,-247645.308,81.9456,0.33416,434.5705,-5.92e-20,0.30038,0.54494,467.1564,1.6378,7.28e-20,1.5443,0.11611,0.45978,-4207.8558,-0.85959,-0.79222,1302566.281,1.2806,-1.9128,0.031229,0.19546,0.0019819,0.21631,2.9799,0.1746,-2.3348,-1.3332,0.16888,25.301,0.005805192,0.43513,0.61289,142.7855,4787.9682,115.5996,907.5427,32.7383,19.107,48.1458,262.051,153.1827,425.4966,2395.5935,9578.6763,565.3294,1162.0273,85.1172,3629.7689,1815.0855,200.2588,1200.32956,684.0394336,1.0
-1.1138,-3712.9487,-2.85e-20,1193.4059,-3130.5941,-65048.7221,-4810.4241,0.4625,-0.32509,-221467.4498,-7434.3982,0.72036,-4530.977,-165748.1629,-101703.2245,-0.50446,-1.22e-22,-259915.4177,38.9834,0.30902,298.071,-2.96e-20,0.27861,0.50753,731.7364,1.1138,-3.49e-20,1.0854,0.16605,0.33065,-4197.3908,-0.72036,-1.2067,1660437.787,1.2592,-1.883,0.58156,-0.073581,0.92409,0.19122,2.7498,0.19447,-2.3194,-2.0219,0.17488,24.249,0.005837888,0.39889,0.60437,142.684,4761.293,114.8171,902.2466,32.5225,18.9908,47.8502,260.2484,153.0812,422.8529,2381.2614,9523.1619,561.5464,1156.082,84.5681,3608.6516,1804.4584,198.9697,1132.271131,695.4980887,1.0
