tqwt_minValue_dec_18,tqwt_entropy_log_dec_34,tqwt_meanValue_dec_11,tqwt_entropy_shannon_dec_16,tqwt_entropy_log_dec_35,tqwt_entropy_log_dec_14,tqwt_entropy_log_dec_26,tqwt_stdValue_dec_17,tqwt_minValue_dec_14,tqwt_entropy_log_dec_11,tqwt_entropy_log_dec_28,tqwt_maxValue_dec_16,tqwt_entropy_log_dec_32,tqwt_entropy_log_dec_12,tqwt_entropy_log_dec_13,tqwt_minValue_dec_15,tqwt_meanValue_dec_5,tqwt_entropy_log_dec_10,tqwt_kurtosisValue_dec_36,tqwt_energy_dec_17,tqwt_entropy_shannon_dec_20,tqwt_meanValue_dec_7,tqwt_stdValue_dec_16,tqwt_maxValue_dec_15,tqwt_entropy_shannon_dec_15,tqwt_maxValue_dec_18,tqwt_meanValue_dec_34,tqwt_maxValue_dec_17,tqwt_stdValue_dec_15,tqwt_maxValue_dec_14,tqwt_entropy_log_dec_33,tqwt_minValue_dec_16,mean_MFCC_3rd_coef,GNE_SNR_SEO,VFER_NSR_SEO,mean_MFCC_4th_coef,mean_MFCC_9th_coef,mean_MFCC_8th_coef,mean_MFCC_7th_coef,std_MFCC_10th_coef,mean_MFCC_2nd_coef,IMF_NSR_entropy,mean_MFCC_6th_coef,mean_MFCC_5th_coef,std_MFCC_9th_coef,std_12th_delta_delta,app_LT_entropy_shannon_6_coef,app_LT_entropy_shannon_8_coef,std_10th_delta_delta,std_8th_delta_delta,std_10th_delta,std_9th_delta_delta,std_9th_delta,app_LT_entropy_shannon_3_coef,det_LT_entropy_log_10_coef,app_entropy_log_8_coef,app_LT_entropy_shannon_5_coef,app_entropy_log_7_coef,app_entropy_log_9_coef,app_LT_entropy_log_8_coef,app_entropy_log_10_coef,app_entropy_log_6_coef,app_LT_entropy_shannon_7_coef,app_LT_entropy_shannon_2_coef,std_12th_delta,std_8th_delta,std_6th_delta_delta,app_LT_entropy_shannon_9_coef,app_LT_entropy_shannon_4_coef,app_LT_entropy_shannon_10_coef,std_11th_delta_delta,class
-0.45961,-3820.4723,1.9e-20,683.3022,-3233.3176,-50571.3488,-13360.0213,0.26217,-0.46697,-228867.7004,-7568.6086,0.41289,-5095.6531,-130314.5034,-76138.9219,-0.44238,-4.83e-21,-248400.6524,2.6381,0.20211,211.35,-2.03e-20,0.16973,0.45197,647.4475,0.45961,1.76e-20,0.54419,0.14906,0.45868,-4274.7929,-0.41289,-2.0275,1333792.265,1.4238,-1.4786,-1.4838,1.5187,0.12373,0.299,0.81669,0.12814,-2.5354,-0.6259,0.3344,0.012823,-252375.5243,-1053662.673,0.011471,0.020466,0.029038,0.021287,0.044203,-51200.716,-170.3789,249.1377,-134903.1083,254.6578,259.5349,134.494,269.9321,258.7874,-518520.1999,-35923.4352,0.028896,0.041909,0.027823,-2270234.511,-78879.1156,-4866287.304,0.012387,1.0
-0.57583,-3672.3149,-1.32e-20,1173.6485,-3241.2701,-46659.0362,-13871.2488,0.37185,-0.5352,-223005.8719,-7584.5798,0.60754,-5063.0473,-119920.305,-69665.4751,-0.57177,6.12e-23,-256646.7576,26.9617,0.31472,200.3955,-7.8e-21,0.26029,0.57824,740.7463,0.57583,0.0,0.8052,0.16877,0.52525,-4338.1476,-0.60754,-2.7049,1747991.318,1.318,-2.0298,-0.95541,1.5218,0.3648,0.19192,0.7111,0.15086,-2.3347,-1.3457,0.34364,0.014688,-253847.2704,-1059367.892,0.013976,0.01625,0.03438,0.015845,0.035158,-51584.116,-140.9319,249.5406,-135744.292,255.0962,259.9379,134.5668,270.3351,259.2703,-521408.4212,-36216.3046,0.037605,0.041854,0.024836,-2282438.277,-79416.4786,-4892281.535,0.0098161,1.0
-0.061831,-4095.7981,1e-20,15.0687,-3595.3165,-105883.4813,-13599.9427,0.019835,-0.060501,-270946.3548,-10169.9268,0.058152,-5024.0618,-202358.5432,-142100.6207,-0.065197,7.04e-22,-316121.6034,73.348,0.029259,9.0784,-1.32e-22,0.016248,0.061039,18.555,0.067925,2.2700000000000004e-21,0.060552,0.016552,0.0704,-4328.0752,-0.058152,-2.0113,1582786.751,1.1749,-1.0458,-1.0169,0.68748,-0.23263,0.25388,3.1396,0.18682,-1.1977,0.16759,0.24943,0.016662,-253438.1885,-1057503.672,0.017394,0.016488,0.035859,0.015837,0.02974,-51551.9876,-105.5237,249.4149,-135557.3422,254.9793,259.8121,134.5429,270.2096,259.1426,-520597.0998,-36199.61,0.032368,0.032304,0.016312,-2278450.261,-79332.7159,-4883782.31,0.01411,1.0
-0.094045,-3865.7732,-5.3e-21,31.189,-3444.0081,-85842.1044,-12856.496,0.031757,-0.10157,-263838.7457,-10163.105,0.086816,-4366.3544,-179877.7124,-119083.1503,-0.10425,3.06e-23,-317176.8134,51.6875,0.042679,18.1734,-4.58e-21,0.024835,0.10734,62.3305,0.094045,1.52e-20,0.10662,0.033365,0.10651,-3926.3371,-0.086816,-1.7587,1345257.73,1.2401,-2.2904,-1.3072,0.73882,-0.22014,0.20797,3.0062,0.18136,-1.072,0.5178,0.23997,0.015051,-251942.6621,-1051764.651,0.016572,0.015236,0.03468,0.018274,0.039119,-51140.2795,-146.0787,249.0042,-134691.5833,254.5218,259.4014,134.4696,269.7987,258.646,-517620.3051,-35885.958,0.031368,0.032436,0.018796,-2266174.388,-78769.1705,-4857638.496,0.01661,1.0
-0.12216,-3773.5532,-1.23e-20,37.9129,-3417.1636,-95125.7694,-13927.4619,0.035806,-0.076488,-274236.3595,-9932.3326,0.10593,-4638.6558,-190145.8142,-129201.472,-0.10175,-1.22e-22,-338359.9766,66.2652,0.054485,15.7305,-2.2200000000000002e-21,0.027918,0.097035,37.8686,0.12216,-2.12e-20,0.15341,0.025187,0.077302,-4145.9287,-0.10593,-1.8396,1669174.207,1.2113,-2.5196,-1.1697,0.42153,0.18847,0.28338,3.8325,0.17821,-1.5939,0.49,0.24057,0.014959,-253849.5463,-1059849.647,0.016949,0.017433,0.041522,0.016751,0.03587,-51488.8364,-144.7267,249.5758,-135672.9949,255.1164,259.973,134.573,270.3702,259.2721,-521533.1824,-36126.1063,0.032203,0.036074,0.019495,-2283468.819,-79323.4767,-4894476.426,0.016667,1.0
-1.6358,-4037.5865,0.0,1276.0455,-3321.0018,-43846.0425,-3264.7481,0.52926,-0.58566,-172544.6363,-9806.3966,0.79065,-5857.084,-160088.3573,-81589.5628,-0.76978,0.0,-196527.3145,95.4826,0.15042,899.5423,2.47e-20,0.3091,0.65999,1796.831,1.6358,-1.88e-19,1.0698,0.3285,0.4462,-4862.9374,-0.79065,-0.72286,1658428.668,1.3696,-1.7518,0.0056289,1.4283,-1.1952,0.18723,1.6047,0.19008,-2.9687,-0.48544,0.26389,0.014153,-205063.4694,-859468.8244,0.012826,0.017061,0.027502,0.018456,0.037678,-41167.9035,-153.9987,234.6191,-109308.3089,239.162,245.0163,131.7477,255.4136,242.3282,-422162.0213,-28732.8816,0.030997,0.031869,0.023655,-1854591.921,-63692.1966,-3980491.186,0.012336,1.0
-1.8075,-4001.3696,-1.04e-19,1157.043,-3361.4122,-52454.7502,-3809.7394,0.46233,-0.37159,-165126.1769,-7855.9673,0.71637,-5377.1549,-155256.0038,-89342.3634,-0.67939,9.179999999999999e-23,-189363.0042,36.1932,0.12063,802.002,2.12e-20,0.27971,0.65423,1443.0182,1.8075,7.58e-20,0.97891,0.26831,0.3908,-4534.215,-0.71637,-0.99284,1731942.346,1.3761,-0.99756,-0.22861,1.0557,-0.74146,0.15253,0.72048,0.19805,-2.8914,-0.88049,0.23825,0.014588,-200798.7246,-841972.3802,0.010393,0.016514,0.020222,0.016145,0.032609,-40254.6774,-133.8304,233.2274,-106993.6511,237.6746,243.6246,131.4707,254.022,240.7471,-413475.662,-28076.7818,0.030756,0.038199,0.026233,-1817117.373,-62315.594,-3900578.239,0.011426,1.0
-1.5745,-4002.4309,7.89e-20,1172.9282,-3399.7489,-56400.5088,-3895.2817,0.41728,-0.26205,-168870.8899,-5146.6815,0.60934,-5425.2728,-162142.6197,-95793.8931,-0.50996,2.45e-22,-203830.5398,90.0073,0.094244,765.2868,-8.99e-21,0.2688,0.50713,1157.2948,1.5745,2.43e-19,0.90976,0.22489,0.2871,-4757.9292,-0.60934,-0.76915,1363345.827,1.3151,-0.77755,0.43487,0.80106,-0.9714,0.17066,1.4756,0.22904,-2.9155,-1.1332,0.18934,0.018134,-194529.5017,-816293.1185,0.011313,0.012496,0.024342,0.013297,0.030791,-38909.1193,-125.9157,231.1564,-103590.1001,235.4626,241.5537,131.0538,251.9509,238.3892,-400737.4611,-27108.3141,0.034829,0.023334,0.02232,-1762108.023,-60287.1856,-3783258.73,0.01254,1.0
-1.263,-2314.1312,-1.1e-20,1072.2504,-1942.6818,-54786.6706,-1928.8476,0.43364,-0.54042,-190274.549,-5977.6738,0.83962,-3634.0624,-131842.9335,-80196.2018,-0.75936,-8.080000000000001e-21,-210181.7683,4.1109,0.20268,404.6962,2.11e-21,0.26091,0.76489,858.5983,1.2302,8.25e-19,1.1129,0.19959,0.53446,-2962.9007,-0.87391,-0.50685,1933826.091,1.2529,-1.034,0.82021,1.4985,-0.41223,0.31555,1.1404,0.16788,-1.2538,-0.62675,0.31897,0.012775,-200017.4205,-838786.9103,0.016261,0.015875,0.035743,0.017336,0.041319,-40067.5087,-147.5028,232.9906,-106553.8176,237.4244,243.3879,131.4197,253.7851,240.4742,-411917.2959,-27935.6579,0.031007,0.037715,0.011937,-1810294.212,-62035.8448,-3886029.174,0.017759,1.0
-1.2717,-1758.081,-2.05e-20,755.1587,-1562.1811,-58061.2827,-934.1281,0.34491,-0.54891,-195373.5527,-6350.3851,0.75032,-3077.1599,-141544.2696,-87935.5914,-0.68262,-1.99e-20,-210930.5049,3.8571,0.12596,465.7592,1.52e-20,0.20652,0.65055,683.9512,1.2229,2.18e-19,1.0669,0.16983,0.52758,-2250.7059,-0.74214,-0.30496,2218999.261,1.1719,-0.41464,0.87948,1.5803,-0.43204,0.28027,1.3162,0.20006,-0.80136,-0.90073,0.24248,0.013495,-200833.018,-841692.9122,0.021562,0.011861,0.048075,0.013586,0.03152,-40383.9513,-115.6092,233.2055,-107096.4885,237.6814,243.6027,131.4662,254.0001,240.7603,-413512.5441,-28190.8269,0.028775,0.026959,0.017245,-1816518.668,-62439.2111,-3899300.758,0.013402,1.0
-1.2349,-2500.1626,-3.43e-20,1131.4091,-2164.4239,-59272.9722,-2687.2851,0.44848,-0.37944,-179073.6868,-8184.0043,0.78903,-4129.2209,-143092.6401,-89932.1531,-0.57574,-1.8e-21,-195129.5525,3.0272,0.27032,304.7567,-1.35e-20,0.27111,0.559,656.9798,1.2437,3.7e-19,1.1475,0.15978,0.38685,-3236.7867,-0.7761,-0.66248,2179452.108,1.2225,-0.81113,1.234,1.5678,-1.0357,0.25292,0.45448,0.18063,-1.3711,-0.91019,0.20548,0.011047,-202234.1089,-847750.1216,0.011256,0.017955,0.025738,0.013248,0.032059,-40605.4446,-246.7032,233.6888,-107802.1687,238.1782,244.086,131.5628,254.4832,241.2814,-416404.7859,-28335.8898,0.022199,0.039864,0.013618,-1829492.996,-62819.4822,-3926971.495,0.010968,1.0
-0.40116,-2876.2294,1.21e-19,848.7987,-2412.1762,-57273.1186,-6618.6504,0.17416,-0.93089,-181134.7855,-7270.3224,0.92737,-3456.3139,-120660.7232,-82115.5273,-0.95092,2.35e-20,-206300.3968,3.8795,0.054844,280.692,4.97e-20,0.24405,1.1426,1016.9497,0.39288,7.28e-20,0.60947,0.25447,0.98752,-2968.0158,-0.92008,3.0083,1110514.977,1.2211,-0.86812,-0.36397,0.075968,1.6874,0.20787,1.4909,0.17423,-0.319,-0.62589,0.2255,0.014045,-191071.8487,-800973.6386,0.013703,0.016602,0.024871,0.015278,0.028612,-38484.4215,-86.5946,230.2889,-101948.15,234.5894,240.6863,130.7982,251.0843,237.4777,-393530.5746,-26863.1504,0.027229,0.031802,0.020392,-1729284.534,-59457.7879,-3713229.039,0.018524,1.0
-0.53628,-2249.0694,-1.3e-19,911.5319,-1799.2464,-62155.3784,-6654.0426,0.21105,-0.71201,-178219.5339,-6811.5961,0.94349,-3440.3922,-123612.7346,-86593.2637,-0.76913,-1.69e-20,-206063.5148,5.0704,0.074528,509.147,5.14e-20,0.24229,0.82611,898.4658,0.54483,4.37e-19,0.7115,0.20427,0.69139,-2856.7938,-0.89522,1.9919,1796323.599,1.2642,-1.9116,-0.5831,0.081758,1.1016,0.23628,1.2594,0.16374,0.23323,-1.3788,0.24879,0.017249,-146564.0696,-619549.409,0.018026,0.019807,0.040198,0.017999,0.028858,-28653.296,-90.7326,214.504,-77588.9356,217.6202,224.9017,127.3472,235.2994,219.3357,-303146.3012,-19748.5529,0.031849,0.040042,0.017552,-1340262.608,-44811.0332,-2882853.673,0.017454,1.0
-0.5581,-2216.6874,-1.07e-19,752.6508,-1923.5239,-58442.1731,-6808.3418,0.19946,-0.95613,-169777.9407,-5716.3934,0.90336,-3148.7728,-117750.6387,-80100.7218,-0.89854,-1.14e-20,-193147.8331,5.2507,0.072332,342.3638,-1.62e-20,0.21767,0.9239,796.5541,0.57069,7.16e-19,0.70432,0.19944,0.87756,-2682.5748,-0.89656,2.2096,1827286.714,1.2796,-1.2621,-0.45646,0.39812,1.4846,0.17768,1.2099,0.16036,0.01602,-1.1625,0.23133,0.01578,-142632.5924,-600516.7472,0.013248,0.016773,0.02318,0.018224,0.032941,-27831.1907,-39.6435,212.1808,-75521.7923,215.3009,222.5955,126.8821,233.0866,216.7622,-295288.9344,-19072.0513,0.025352,0.027149,0.016459,-1299325.674,-43568.107,-2793887.557,0.015197,1.0
-1.6459,-3368.2931,-9.79e-20,899.8528,-2805.2843,-41516.0464,-807.2327,0.48439,-0.69216,-148017.2261,-2693.5399,0.63849,-4681.0521,-96444.8052,-57133.9668,-0.63033,2.45e-22,-201469.0248,91.769,0.12215,756.438,-1.13e-20,0.21698,0.57157,731.8167,1.6459,2.43e-19,1.0637,0.16847,0.73913,-3922.2129,-0.63849,-1.7211,1555852.562,1.3214,-0.19772,-0.10371,0.31799,-0.15936,0.32932,1.0426,0.19453,-0.54426,0.039771,0.23721,0.012295,-192413.5087,-807303.0858,0.016778,0.018367,0.035579,0.016272,0.034424,-38554.8187,-159.1938,230.4235,-102510.5662,234.6919,240.8207,130.9047,251.218,237.5844,-396348.5639,-26877.0306,0.024478,0.041236,0.019124,-1742847.377,-59697.2091,-3742176.017,0.011764,1.0
-1.9137,-3688.8884,2.63e-19,1020.6675,-3162.5305,-29362.3713,-2215.6744,0.56282,-0.90103,-129564.4538,-6566.6159,0.89628,-5148.1852,-85682.0169,-46065.2893,-0.73159,-4.89e-22,-174847.954,9.0822,0.1209,599.5949,-4.23e-20,0.24788,0.67147,1379.4513,1.9137,7.89e-20,1.3285,0.27529,0.93619,-4438.4344,-0.89628,-2.0757,1770282.403,1.3067,-0.92052,-0.12041,0.027319,-0.39805,0.27835,0.18971,0.16345,-1.1305,0.024052,0.27468,0.017662,-200937.795,-842821.9145,0.02165,0.018328,0.039957,0.019969,0.039673,-40222.4423,-106.6072,233.2954,-107021.4633,237.7327,243.6927,131.4842,254.0903,240.799,-413812.7366,-28041.9554,0.033544,0.036403,0.021007,-1818936.762,-62300.0964,-3904455.014,0.013396,1.0
-1.9031,-3800.4002,-2.15e-19,986.0332,-3230.8607,-34881.7774,-1870.3153,0.54996,-0.83659,-130822.2257,-7326.6653,0.69054,-5246.9649,-88686.6302,-50767.2896,-0.60854,1.2e-20,-176788.5372,72.6508,0.1363,454.2216,-3.45e-20,0.24295,0.6253,1043.4278,1.9031,1.03e-19,1.2166,0.21776,0.83659,-4463.661,-0.69054,-2.0148,1876014.433,1.2834,-0.25183,-0.3844,0.54048,-0.28884,0.23096,-0.69319,0.13959,-1.4919,0.20816,0.21716,0.010635,-203165.9941,-852139.9374,0.016996,0.014098,0.035577,0.014874,0.031681,-40646.1156,-101.676,234.0377,-108198.5022,238.5175,244.4349,131.6322,254.8326,241.6266,-418388.3226,-28333.9342,0.021635,0.027836,0.021635,-1838894.724,-62971.8972,-3947013.781,0.013278,1.0
-1.3782,-3790.6375,1.63e-20,1107.3282,-3214.6285,-68172.3743,-4760.9166,0.45319,-0.22975,-221507.5455,-7610.2649,0.71037,-4845.2693,-170641.4603,-105635.9546,-0.37774,-2.14e-22,-257517.9342,82.9636,0.32036,279.1614,-2.11e-21,0.25907,0.37384,601.9987,1.3782,4.25e-20,1.3296,0.14185,0.22133,-4276.1395,-0.71037,-0.88695,1740469.397,1.2876,-2.3027,0.66879,0.11701,0.64539,0.1783,3.2723,0.18479,-2.9225,-1.2681,0.17059,0.013321,-214814.6103,-899781.82,0.015509,0.015166,0.030245,0.012988,0.025526,-43166.7052,-125.0536,237.7689,-114528.9319,242.5155,248.1662,132.3651,258.5634,245.8782,-442102.4298,-30148.2639,0.029266,0.031963,0.020198,-1940918.258,-66753.6757,-4164545.401,0.015811,1.0
