std_MFCC_10th_coef,mean_8th_delta_delta,mean_MFCC_5th_coef,mean_MFCC_7th_coef,VFER_NSR_SEO,GNE_SNR_SEO,mean_MFCC_10th_coef,mean_MFCC_6th_coef,mean_MFCC_8th_coef,IMF_NSR_entropy,VFER_NSR_TKEO,mean_MFCC_4th_coef,mean_MFCC_1st_coef,mean_MFCC_3rd_coef,mean_MFCC_9th_coef,mean_MFCC_2nd_coef,mean_12th_delta_delta,mean_MFCC_12th_coef,std_MFCC_9th_coef,mean_MFCC_11th_coef,mean_11th_delta,std_12th_delta_delta,std_9th_delta,std_8th_delta,app_LT_entropy_log_8_coef,app_LT_entropy_shannon_2_coef,std_12th_delta,det_LT_entropy_log_10_coef,std_10th_delta_delta,app_LT_entropy_shannon_3_coef,app_LT_entropy_shannon_8_coef,det_entropy_log_9_coef,app_entropy_log_10_coef,std_8th_delta_delta,std_9th_delta_delta,app_entropy_log_8_coef,app_LT_entropy_shannon_5_coef,app_LT_entropy_shannon_6_coef,app_LT_entropy_shannon_7_coef,det_entropy_log_8_coef,app_entropy_log_7_coef,app_LT_entropy_shannon_9_coef,det_LT_entropy_log_9_coef,app_entropy_log_6_coef,std_11th_delta_delta,app_LT_entropy_shannon_10_coef,std_10th_delta,app_entropy_log_9_coef,app_LT_entropy_shannon_4_coef,std_6th_delta_delta,det_entropy_log_10_coef,class
0.299,0.00030074,-0.6259,0.12373,1.4238,1333792.265,-0.9659,-2.5354,1.5187,0.12814,1.3019,-1.4786,6.9275,-2.0275,-1.4838,0.81669,-0.00013392,-0.33732,0.3344,-0.6369,-0.0014063,0.012823,0.044203,0.041909,134.494,-35923.4352,0.028896,-170.3789,0.011471,-51200.716,-1053662.673,-2.4269,269.9321,0.020466,0.021287,249.1377,-134903.1083,-252375.5243,-518520.1999,30.2445,254.6578,-2270234.511,-169.716,258.7874,0.012387,-4866287.304,0.029038,259.5349,-78879.1156,0.027823,-5.6373,1.0
0.19192,-0.00062455,-1.3457,0.3648,1.318,1747991.318,-0.60273,-2.3347,1.5218,0.15086,1.3615,-2.0298,6.5105,-2.7049,-0.95541,0.7111,5.18e-05,-0.13483,0.34364,-0.50188,0.00097828,0.014688,0.035158,0.041854,134.5668,-36216.3046,0.037605,-140.9319,0.013976,-51584.116,-1059367.892,5.7786,270.3351,0.01625,0.015845,249.5406,-135744.292,-253847.2704,-521408.4212,23.1091,255.0962,-2282438.277,-160.7927,259.2703,0.0098161,-4892281.535,0.03438,259.9379,-79416.4786,0.024836,25.637,1.0
0.25388,2.43e-05,0.16759,-0.23263,1.1749,1582786.751,-0.78735,-1.1977,0.68748,0.18682,1.2107,-1.0458,4.2309,-2.0113,-1.0169,3.1396,-9.41e-05,-0.57237,0.24943,-1.7935,0.0018087,0.016662,0.02974,0.032304,134.5429,-36199.61,0.032368,-105.5237,0.017394,-51551.9876,-1057503.672,36.1813,270.2096,0.016488,0.015837,249.4149,-135557.3422,-253438.1885,-520597.0998,45.115,254.9793,-2278450.261,-129.8156,259.1426,0.01411,-4883782.31,0.035859,259.8121,-79332.7159,0.016312,60.7266,1.0
0.20797,0.00062446,0.5178,-0.22014,1.2401,1345257.73,-0.66575,-1.072,0.73882,0.18136,1.2788,-2.2904,4.7262,-1.7587,-1.3072,3.0062,-0.00013854,-0.97535,0.23997,-1.5353,0.0024916,0.015051,0.039119,0.032436,134.4696,-35885.958,0.031368,-146.0787,0.016572,-51140.2795,-1051764.651,-1.6702,269.7987,0.015236,0.018274,249.0042,-134691.5833,-251942.6621,-517620.3051,7.3257,254.5218,-2266174.388,-167.4409,258.646,0.01661,-4857638.496,0.03468,259.4014,-78769.1705,0.018796,19.6725,1.0
0.28338,5.93e-05,0.49,0.18847,1.2113,1669174.207,-0.60712,-1.5939,0.42153,0.17821,1.2613,-2.5196,4.3417,-1.8396,-1.1697,3.8325,6.65e-05,-0.82614,0.24057,-1.3391,0.0029894,0.014959,0.03587,0.036074,134.573,-36126.1063,0.032203,-144.7267,0.016949,-51488.8364,-1059849.647,-9.9557,270.3702,0.017433,0.016751,249.5758,-135672.9949,-253849.5463,-521533.1824,8.5209,255.1164,-2283468.819,-175.9569,259.2721,0.016667,-4894476.426,0.041522,259.973,-79323.4767,0.019495,21.3201,1.0
0.18723,0.00015109,-0.48544,-1.1952,1.3696,1658428.668,0.13928,-2.9687,1.4283,0.19008,1.3199,-1.7518,7.5078,-0.72286,0.0056289,1.6047,-6.78e-05,-0.73194,0.26389,-0.69445,0.0023263,0.014153,0.037678,0.031869,131.7477,-28732.8816,0.030997,-153.9987,0.012826,-41167.9035,-859468.8244,-26.1259,255.4136,0.017061,0.018456,234.6191,-109308.3089,-205063.4694,-422162.0213,-22.5659,239.162,-1854591.921,-177.4087,242.3282,0.012336,-3980491.186,0.027502,245.0163,-63692.1966,0.023655,-2.8729,1.0
0.15253,-0.00021074,-0.88049,-0.74146,1.3761,1731942.346,-0.12279,-2.8914,1.0557,0.19805,1.2771,-0.99756,7.76,-0.99284,-0.22861,0.72048,-2.53e-05,-0.45221,0.23825,-0.59007,-0.0015449,0.014588,0.032609,0.038199,131.4707,-28076.7818,0.030756,-133.8304,0.010393,-40254.6774,-841972.3802,-24.1346,254.022,0.016514,0.016145,233.2274,-106993.6511,-200798.7246,-413475.662,-21.2962,237.6746,-1817117.373,-173.817,240.7471,0.011426,-3900578.239,0.020222,243.6246,-62315.594,0.026233,15.9858,1.0
0.17066,0.00028328,-1.1332,-0.9714,1.3151,1363345.827,0.083262,-2.9155,0.80106,0.22904,1.2723,-0.77755,8.0628,-0.76915,0.43487,1.4756,-0.00018406,-0.80674,0.18934,-0.41226,0.0036588,0.018134,0.030791,0.023334,131.0538,-27108.3141,0.034829,-125.9157,0.011313,-38909.1193,-816293.1185,-7.4499,251.9509,0.012496,0.013297,231.1564,-103590.1001,-194529.5017,-400737.4611,-24.485,235.4626,-1762108.023,-155.2867,238.3892,0.01254,-3783258.73,0.024342,241.5537,-60287.1856,0.02232,21.9153,1.0
0.31555,0.00024333,-0.62675,-0.41223,1.2529,1933826.091,-1.4141,-1.2538,1.4985,0.16788,1.2505,-1.034,8.2131,-0.50685,0.82021,1.1404,-0.00020127,0.54484,0.31897,-0.12672,0.0018946,0.012775,0.041319,0.037715,131.4197,-27935.6579,0.031007,-147.5028,0.016261,-40067.5087,-838786.9103,0.08095,253.7851,0.015875,0.017336,232.9906,-106553.8176,-200017.4205,-411917.2959,37.7002,237.4244,-1810294.212,-151.7543,240.4742,0.017759,-3886029.174,0.035743,243.3879,-62035.8448,0.011937,5.7517,1.0
0.28027,-0.00015773,-0.90073,-0.43204,1.1719,2218999.261,-1.3219,-0.80136,1.5803,0.20006,1.202,-0.41464,7.9928,-0.30496,0.87948,1.3162,-1.72e-05,0.71539,0.24248,-0.0284,0.0048177,0.013495,0.03152,0.026959,131.4662,-28190.8269,0.028775,-115.6092,0.021562,-40383.9513,-841692.9122,6.7045,254.0001,0.011861,0.013586,233.2055,-107096.4885,-200833.018,-413512.5441,-12.1301,237.6814,-1816518.668,-143.3761,240.7603,0.013402,-3899300.758,0.048075,243.6027,-62439.2111,0.017245,34.6343,1.0
0.25292,-0.00034414,-0.91019,-1.0357,1.2225,2179452.108,-0.8023,-1.3711,1.5678,0.18063,1.1974,-0.81113,7.9823,-0.66248,1.234,0.45448,-5.77e-05,0.71911,0.20548,-0.56919,3.86e-06,0.011047,0.032059,0.039864,131.5628,-28335.8898,0.022199,-246.7032,0.011256,-40605.4446,-847750.1216,-76.4211,254.4832,0.017955,0.013248,233.6888,-107802.1687,-202234.1089,-416404.7859,-57.315,238.1782,-1829492.996,-227.1162,241.2814,0.010968,-3926971.495,0.025738,244.086,-62819.4822,0.013618,-98.8344,1.0
0.20787,0.00018173,-0.62589,1.6874,1.2211,1110514.977,1.3464,-0.319,0.075968,0.17423,1.1375,-0.86812,4.6268,3.0083,-0.36397,1.4909,-0.00020031,0.11326,0.2255,-0.3363,-0.00030758,0.014045,0.028612,0.031802,130.7982,-26863.1504,0.027229,-86.5946,0.013703,-38484.4215,-800973.6386,25.7251,251.0843,0.016602,0.015278,230.2889,-101948.15,-191071.8487,-393530.5746,30.4849,234.5894,-1729284.534,-108.8812,237.4777,0.018524,-3713229.039,0.024871,240.6863,-59457.7879,0.020392,54.0301,1.0
0.23628,-0.00026009,-1.3788,1.1016,1.2642,1796323.599,0.904,0.23323,0.081758,0.16374,1.1639,-1.9116,5.0214,1.9919,-0.5831,1.2594,-5.62e-05,-0.41044,0.24879,-0.3587,0.00087551,0.017249,0.028858,0.040042,127.3472,-19748.5529,0.031849,-90.7326,0.018026,-28653.296,-619549.409,45.3435,235.2994,0.019807,0.017999,214.504,-77588.9356,-146564.0696,-303146.3012,47.4476,217.6202,-1340262.608,-96.7007,219.3357,0.017454,-2882853.673,0.040198,224.9017,-44811.0332,0.017552,52.3161,1.0
0.17768,-0.00020984,-1.1625,1.4846,1.2796,1827286.714,1.0131,0.01602,0.39812,0.16036,1.1237,-1.2621,5.4603,2.2096,-0.45646,1.2099,-0.00014571,-0.11759,0.23133,-0.2503,-0.0036452,0.01578,0.032941,0.027149,126.8821,-19072.0513,0.025352,-39.6435,0.013248,-27831.1907,-600516.7472,61.532,233.0866,0.016773,0.018224,212.1808,-75521.7923,-142632.5924,-295288.9344,45.1951,215.3009,-1299325.674,-78.0262,216.7622,0.015197,-2793887.557,0.02318,222.5955,-43568.107,0.016459,98.4997,1.0
0.32932,-5.84e-05,0.039771,-0.15936,1.3214,1555852.562,-0.48328,-0.54426,0.31799,0.19453,1.2304,-0.19772,9.1985,-1.7211,-0.10371,1.0426,0.00012163,0.95805,0.23721,0.69117,0.00066615,0.012295,0.034424,0.041236,130.9047,-26877.0306,0.024478,-159.1938,0.016778,-38554.8187,-807303.0858,-9.47,251.218,0.018367,0.016272,230.4235,-102510.5662,-192413.5087,-396348.5639,-0.64108,234.6919,-1742847.377,-156.6983,237.5844,0.011764,-3742176.017,0.035579,240.8207,-59697.2091,0.019124,-16.2137,1.0
0.27835,-0.00040409,0.024052,-0.39805,1.3067,1770282.403,-0.89084,-1.1305,0.027319,0.16345,1.2115,-0.92052,8.7644,-2.0757,-0.12041,0.18971,-0.00052834,1.0183,0.27468,0.27555,0.00052308,0.017662,0.039673,0.036403,131.4842,-28041.9554,0.033544,-106.6072,0.02165,-40222.4423,-842821.9145,11.8013,254.0903,0.018328,0.019969,233.2954,-107021.4633,-200937.795,-413812.7366,-7.0413,237.7327,-1818936.762,-138.2344,240.799,0.013396,-3904455.014,0.039957,243.6927,-62300.0964,0.021007,43.1949,1.0
0.23096,0.0002163,0.20816,-0.28884,1.2834,1876014.433,-0.67933,-1.4919,0.54048,0.13959,1.1374,-0.25183,8.9852,-2.0148,-0.3844,-0.69319,-0.0001049,0.95719,0.21716,0.41213,-0.0024419,0.010635,0.031681,0.027836,131.6322,-28333.9342,0.021635,-101.676,0.016996,-40646.1156,-852139.9374,25.2314,254.8326,0.014098,0.014874,234.0377,-108198.5022,-203165.9941,-418388.3226,19.4763,238.5175,-1838894.724,-125.5052,241.6266,0.013278,-3947013.781,0.035577,244.4349,-62971.8972,0.021635,48.6989,1.0
0.1783,1.65e-05,-1.2681,0.64539,1.2876,1740469.397,0.64446,-2.9225,0.11701,0.18479,1.3399,-2.3027,6.8012,-0.88695,0.66879,3.2723,0.00029479,-0.60817,0.17059,-1.2327,-0.0043173,0.013321,0.025526,0.031963,132.3651,-30148.2639,0.029266,-125.0536,0.015509,-43166.7052,-899781.82,7.2543,258.5634,0.015166,0.012988,237.7689,-114528.9319,-214814.6103,-442102.4298,-20.5723,242.5155,-1940918.258,-147.2466,245.8782,0.015811,-4164545.401,0.030245,248.1662,-66753.6757,0.020198,29.4647,1.0
0.21631,0.00033273,-1.3332,0.0019819,1.2806,1302566.281,0.30905,-2.3348,0.19546,0.1746,1.3308,-1.9128,6.974,-0.79222,0.031229,2.9799,0.0004742,-0.78231,0.16888,-0.38913,-0.0005625,0.019792,0.025139,0.031196,132.3883,-30197.0631,0.042857,-134.2617,0.013574,-43240.3588,-901327.0024,7.21,258.6821,0.01543,0.012928,237.8876,-114730.6596,-215181.2547,-442886.6251,21.3691,242.6451,-1944226.65,-147.3279,246.0093,0.013521,-4171598.568,0.026293,248.2849,-66868.3045,0.022728,20.2341,1.0
0.19122,-0.00014049,-2.0219,0.92409,1.2592,1660437.787,0.19867,-2.3194,-0.073581,0.19447,1.3402,-1.883,6.8973,-1.2067,0.58156,2.7498,-0.00024578,-0.5745,0.17488,-0.75016,0.0025307,0.012984,0.02148,0.028782,132.2868,-30081.0397,0.026606,-157.9624,0.014903,-43037.3134,-894565.1679,-33.6473,258.1598,0.015188,0.011823,237.3654,-113982.8382,-213645.2284,-439637.2066,-18.2388,242.105,-1929748.719,-187.8637,245.4568,0.014286,-4140734.166,0.027062,247.7626,-66491.1529,0.018554,-3.6793,1.0
0.32343,-0.00044114,-0.8563,-1.4172,1.182,474091.1227,-0.17598,-2.8153,1.4231,0.15081,1.2313,0.93677,9.8574,-0.35011,1.3139,2.2431,-0.00068084,0.5092,0.34009,-0.25534,-0.0023249,0.023139,0.04257,0.060866,129.5946,-24142.6298,0.0475,-173.7681,0.018476,-34731.4377,-732376.8947,-49.3301,244.9265,0.028675,0.020066,224.1321,-92698.1712,-174224.2859,-359282.4124,-26.8713,227.9874,-1582269.097,-190.5795,230.4548,0.020189,-3399568.762,0.039502,234.5293,-53887.8639,0.035266,-32.7866,1.0
0.33796,0.00053359,-1.4312,-1.8479,1.1958,921917.5999,-0.42226,-3.2328,1.1559,0.10887,1.2762,0.19772,11.5024,-0.67505,1.1839,3.1951,0.00059964,0.62995,0.26292,-0.48361,-0.00051797,0.020497,0.045912,0.062735,130.7884,-26394.5493,0.044465,-50.8705,0.025371,-38064.8861,-801421.5011,80.1287,251.531,0.028496,0.022234,230.6204,-101759.8101,-191251.5203,-394411.6803,61.2299,234.9687,-1730202.117,-96.1008,237.6525,0.017751,-3714450.987,0.056539,241.0361,-59104.0971,0.02926,117.871,1.0
0.36987,0.0011552,-1.3998,-2.0486,1.2037,788009.8375,-0.8921,-3.5045,1.2059,0.12861,1.2253,0.32703,9.4284,-0.98671,1.1349,1.7388,8.07e-05,0.46233,0.35878,-1.0286,-0.00078522,0.025805,0.058085,0.071231,130.52,-25796.3764,0.058394,-45.8355,0.023247,-37256.3792,-786020.4042,81.7836,250.2961,0.032249,0.026831,229.36,-99741.31,-187564.6264,-386968.032,71.84,233.61,-1697184.548,-91.3841,236.1554,0.019677,-3643724.251,0.050677,239.7819,-57889.752,0.032941,121.1948,1.0
0.27621,0.00015126,0.73504,-1.2169,1.3256,1370539.628,-1.3351,-2.2551,0.94685,0.17931,1.2214,-1.1908,6.6578,-1.6492,0.16247,0.92812,-3.39e-05,-0.079822,0.22126,-0.90131,0.00070732,0.011646,0.029962,0.031757,132.9801,-31895.0064,0.026178,-112.0091,0.023343,-45552.1073,-941793.802,25.0467,261.7647,0.016144,0.015386,240.9702,-120297.9566,-225237.2859,-463155.3466,23.8158,245.9668,-2030857.914,-132.9534,249.5754,0.015571,-4356255.826,0.045458,251.3674,-70268.1824,0.019955,45.9738,0.0
0.36293,0.00024615,-0.053167,-1.8423,1.3528,1693327.298,-1.6123,-1.9683,0.8656,0.16142,1.1892,-1.5476,6.2199,-0.54978,0.91054,-0.12565,-0.00022845,0.50721,0.39824,-1.1158,0.00012602,0.011686,0.029788,0.02346,132.91,-31760.913,0.023839,-103.8881,0.01637,-45351.0372,-936911.9646,30.1613,261.3975,0.011375,0.013958,240.603,-119700.1216,-224089.93,-460777.8397,28.1438,245.582,-2020407.935,-127.5515,249.1736,0.012079,-4333982.913,0.03166,251.0002,-69936.3459,0.011495,53.7099,0.0
0.18478,-0.00011592,-0.54687,-1.8349,1.3018,1451112.198,-1.9505,-1.6696,0.72215,0.18562,1.1683,-1.2222,6.0527,-0.17878,1.0124,0.13828,-5.71e-05,0.23236,0.42838,-0.31856,-0.003311,0.01083,0.025292,0.020273,132.7718,-31340.823,0.021944,-124.3923,0.012924,-44784.1203,-927351.3492,-5.6399,260.6732,0.0096665,0.012484,239.8786,-118350.4003,-221655.8451,-455955.8012,-13.5473,244.7962,-1999942.107,-162.2094,248.3157,0.011804,-4290361.375,0.023388,250.2758,-69109.9484,0.012624,32.5435,0.0
0.31693,0.00044702,-0.41845,0.63757,1.1972,1950179.961,0.10392,-0.86676,1.3377,0.22573,1.1764,-1.0148,7.3356,1.0394,1.0642,0.96335,-0.00019926,0.71989,0.25925,-0.85825,-0.00062296,0.016761,0.030296,0.033133,130.8867,-26800.4751,0.031574,-183.3317,0.015324,-38462.9049,-806217.6809,-34.9042,251.131,0.016043,0.015481,230.3366,-102329.7665,-192125.3996,-395818.8216,-24.2523,234.6006,-1740521.944,-181.9238,237.4766,0.016705,-3737217.039,0.032616,240.7338,-59572.132,0.01905,-35.8787,1.0
0.21763,-0.00020695,-0.19143,0.61079,1.2721,1782870.302,-0.072689,-1.2428,2.0072,0.22231,1.1867,-1.0168,7.3515,0.89372,0.94483,1.2571,1.13e-05,0.37607,0.23047,-0.71365,0.0013427,0.014025,0.025869,0.030295,131.0142,-27069.3558,0.029794,-216.2302,0.015795,-38843.4221,-813891.7001,-62.4686,251.7557,0.01504,0.013653,230.9613,-103334.8738,-193993.3106,-399617.254,-17.1919,235.2665,-1756963.346,-210.1818,238.186,0.015894,-3772286.585,0.030186,241.3585,-60160.9795,0.019869,-64.0492,1.0
0.22003,0.00022262,-0.93807,1.4095,1.2193,1732494.937,-0.21404,-1.1462,2.1867,0.18892,1.2422,-2.0082,7.6403,0.80291,0.27346,1.0681,0.00015762,0.30278,0.222,-1.0887,-0.0015278,0.011964,0.029536,0.028678,131.0956,-27199.4287,0.026886,-127.9976,0.014201,-39041.9801,-818834.2889,-0.66075,252.1589,0.014801,0.01359,231.3644,-103916.1376,-195132.9348,-402039.6645,24.6081,235.6918,-1767552.067,-148.3761,238.6192,0.013054,-3794870.009,0.030517,241.7616,-60484.5125,0.018993,20.0915,1.0
0.24065,0.00017664,-1.6486,-0.22902,1.2503,926886.8032,1.2199,-0.96903,-0.79206,0.15147,1.1449,-1.6899,4.3091,2.4564,0.97747,1.2316,-0.00022147,-1.7245,0.31557,-1.121,0.0036959,0.015619,0.023695,0.031199,132.5281,-30640.7717,0.033573,-119.7738,0.015861,-43837.4512,-910738.631,-6.3328,259.4057,0.01577,0.011934,238.6108,-116079.5672,-217568.9524,-447704.8694,-2.5354,243.4413,-1964376.777,-161.9756,246.8633,0.013333,-4214546.22,0.030303,249.008,-67719.6907,0.012852,36.0968,1.0
0.37252,0.00046356,-1.5043,-0.054811,1.2018,1652716.649,0.3656,-0.60916,-0.45484,0.16037,1.1299,-2.1382,3.4116,1.9696,1.4436,1.6658,9.34e-05,-0.87145,0.41076,-1.4637,0.0080525,0.017871,0.033632,0.03932,131.9426,-28957.6666,0.034883,-28.6846,0.01457,-41443.7231,-880413.0102,80.1265,257.4226,0.017825,0.01657,236.1721,-111394.3874,-209574.4455,-430515.8878,64.5412,239.9517,-1899132.616,-63.3134,243.3982,0.014139,-4070305.38,0.02969,246.5626,-64577.284,0.020774,114.1374,1.0
0.38972,-0.00022241,-2.5212,-0.37913,1.2201,1560026.626,0.71715,-0.79369,-0.84469,0.14165,1.1295,-1.8063,4.4347,2.0842,1.0687,1.2542,-0.00016118,-1.2694,0.23763,-1.1501,0.0028659,0.015345,0.030455,0.034796,132.7965,-31338.1442,0.030146,-111.8804,0.012748,-44807.3648,-929071.9925,22.3243,260.8039,0.014977,0.015203,240.0083,-118521.0047,-222041.0772,-456842.9452,17.248,244.9399,-2003624.723,-134.944,248.4505,0.012667,-4298197.081,0.033066,250.4056,-69175.0273,0.016292,44.7528,1.0
0.23871,0.00020182,0.44102,-0.9642,1.1285,1066338.095,-1.805,-0.49379,-0.27606,0.22472,1.2619,-1.0501,6.9753,-1.7773,-0.26092,1.445,-0.00020148,-0.039796,0.25199,-0.80938,-0.0015192,0.012156,0.027741,0.023462,133.4486,-32946.4422,0.021846,-120.0981,0.014391,-47066.0147,-975100.6742,14.4616,264.2498,0.013278,0.014596,243.4553,-124465.4059,-233159.5292,-479447.5238,8.1578,248.5811,-2102144.669,-145.7221,252.3251,0.0088919,-4508175.007,0.02579,253.8525,-72655.0147,0.013783,40.1343,0.0
