RPDE,DFA,meanPeriodPulses,meanHarmToNoiseHarmonicity,app_LT_TKEO_std_2_coef,app_LT_TKEO_std_3_coef,app_LT_TKEO_mean_6_coef,app_LT_TKEO_std_8_coef,app_LT_entropy_log_10_coef,app_LT_TKEO_mean_10_coef,app_LT_TKEO_mean_4_coef,app_LT_TKEO_mean_8_coef,app_LT_TKEO_mean_7_coef,app_LT_TKEO_std_5_coef,app_LT_entropy_log_9_coef,app_LT_TKEO_std_10_coef,app_LT_TKEO_std_6_coef,app_LT_TKEO_mean_5_coef,app_LT_TKEO_std_9_coef,app_LT_TKEO_mean_9_coef,app_LT_TKEO_std_4_coef,app_LT_TKEO_std_7_coef,f3,f2,f1,f4,std_12th_delta_delta,std_9th_delta,std_8th_delta,app_LT_entropy_log_8_coef,app_LT_entropy_shannon_2_coef,std_12th_delta,det_LT_entropy_log_10_coef,std_10th_delta_delta,app_LT_entropy_shannon_3_coef,app_LT_entropy_shannon_8_coef,det_entropy_log_9_coef,app_entropy_log_10_coef,std_8th_delta_delta,std_9th_delta_delta,app_entropy_log_8_coef,app_LT_entropy_shannon_5_coef,app_LT_entropy_shannon_6_coef,app_LT_entropy_shannon_7_coef,det_entropy_log_8_coef,app_entropy_log_7_coef,app_LT_entropy_shannon_9_coef,det_LT_entropy_log_9_coef,app_entropy_log_6_coef,std_11th_delta_delta,app_LT_entropy_shannon_10_coef,std_10th_delta,app_entropy_log_9_coef,app_LT_entropy_shannon_4_coef,std_6th_delta_delta,det_entropy_log_10_coef,class
0.61745,0.67256,0.003956114,19.889,21.9146,55.3601,230.3802,2757.9747,155.2884,4179.611,37.6573,1045.0212,489.6797,301.123,144.8912,11029.8965,649.8991,97.8902,5514.3104,2089.9787,133.0292,1339.4139,1963.76089,1247.116884,677.2253757,3229.710859,0.012823,0.044203,0.041909,134.494,-35923.4352,0.028896,-170.3789,0.011471,-51200.716,-1053662.673,-2.4269,269.9321,0.020466,0.021287,249.1377,-134903.1083,-252375.5243,-518520.1999,30.2445,254.6578,-2270234.511,-169.716,258.7874,0.012387,-4866287.304,0.029038,259.5349,-78879.1156,0.027823,-5.6373,1.0
0.44555,0.58326,0.003872688,27.095,22.0993,55.6475,231.4296,2769.814,155.3612,4199.7667,37.8173,1049.8592,491.8951,302.3918,144.964,11083.4259,652.8277,98.3402,5543.0336,2099.6908,133.5346,1345.8995,2186.277217,1285.817993,751.6864723,3140.663975,0.014688,0.035158,0.041854,134.5668,-36216.3046,0.037605,-140.9319,0.013976,-51584.116,-1059367.892,5.7786,270.3351,0.01625,0.015845,249.5406,-135744.292,-253847.2704,-521408.4212,23.1091,255.0962,-2282438.277,-160.7927,259.2703,0.0098161,-4892281.535,0.03438,259.9379,-79416.4786,0.024836,25.637,1.0
0.78026,0.78996,0.003924152,6.301,22.1749,55.9319,232.1955,2780.8476,155.3374,4206.8681,37.9527,1052.4571,493.4033,303.7988,144.9401,11101.1814,655.7354,98.6979,5546.6971,2104.7227,134.0329,1348.1929,2337.449029,1256.570863,493.1873293,3320.689784,0.016662,0.02974,0.032304,134.5429,-36199.61,0.032368,-105.5237,0.017394,-51551.9876,-1057503.672,36.1813,270.2096,0.016488,0.015837,249.4149,-135557.3422,-253438.1885,-520597.0998,45.115,254.9793,-2278450.261,-129.8156,259.1426,0.01411,-4883782.31,0.035859,259.8121,-79332.7159,0.016312,60.7266,1.0
0.70809,0.76831,0.006316424,12.354,21.9111,55.3693,230.2772,2756.9377,155.264,4176.1961,37.639,1044.3195,489.4014,301.114,144.8668,11020.6905,649.6593,97.8588,5508.8857,2088.5436,132.9956,1338.4137,1957.070313,1241.232495,487.8220627,3128.810096,0.015051,0.039119,0.032436,134.4696,-35885.958,0.031368,-146.0787,0.016572,-51140.2795,-1051764.651,-1.6702,269.7987,0.015236,0.018274,249.0042,-134691.5833,-251942.6621,-517620.3051,7.3257,254.5218,-2266174.388,-167.4409,258.646,0.01661,-4857638.496,0.03468,259.4014,-78769.1705,0.018796,19.6725,1.0
0.6918,0.77992,0.006624185,13.735,22.053,55.6331,231.3107,2767.2569,155.3674,4196.5425,37.7796,1048.9559,491.5308,301.926,144.9702,11074.8059,652.2783,98.274,5538.3407,2097.9498,133.2709,1344.4851,1918.916271,1166.500244,532.1190414,3254.848811,0.014959,0.03587,0.036074,134.573,-36126.1063,0.032203,-144.7267,0.016949,-51488.8364,-1059849.647,-9.9557,270.3702,0.017433,0.016751,249.5758,-135672.9949,-253849.5463,-521533.1824,8.5209,255.1164,-2283468.819,-175.9569,259.2721,0.016667,-4894476.426,0.041522,259.973,-79323.4767,0.019495,21.3201,1.0
0.33216,0.61483,0.006433293,27.642,18.2444,46.0159,191.4031,2288.8051,152.5421,3473.3359,31.2867,867.9692,406.7473,250.3007,142.1449,9166.5885,540.0123,81.3386,4585.65,1736.0252,110.5168,1112.1852,2629.11226,1081.275302,600.5084218,3275.210373,0.014153,0.037678,0.031869,131.7477,-28732.8816,0.030997,-153.9987,0.012826,-41167.9035,-859468.8244,-26.1259,255.4136,0.017061,0.018456,234.6191,-109308.3089,-205063.4694,-422162.0213,-22.5659,239.162,-1854591.921,-177.4087,242.3282,0.012336,-3980491.186,0.027502,245.0163,-63692.1966,0.023655,-2.8729,1.0
0.37051,0.62018,0.006754263,25.185,17.9249,45.1511,187.8102,2245.3872,152.2651,3408.2716,30.6966,851.631,399.1102,245.5245,141.8679,8994.973,529.9628,79.8143,4500.2359,1703.3725,108.4572,1091.1136,2577.293257,1073.178259,590.7963713,3182.968699,0.014588,0.032609,0.038199,131.4707,-28076.7818,0.030756,-133.8304,0.010393,-40254.6774,-841972.3802,-24.1346,254.022,0.016514,0.016145,233.2274,-106993.6511,-200798.7246,-413475.662,-21.2962,237.6746,-1817117.373,-173.817,240.7471,0.011426,-3900578.239,0.020222,243.6246,-62315.594,0.026233,15.9858,1.0
0.37031,0.63124,0.007256724,26.686,17.4155,43.9405,182.7769,2185.1988,151.8482,3315.5187,29.8783,828.5648,388.3877,239.0198,141.451,8749.9743,515.9569,77.6752,4376.6136,1657.2259,105.5684,1061.1468,2447.622631,1036.794374,562.3489087,3105.507631,0.018134,0.030791,0.023334,131.0538,-27108.3141,0.034829,-125.9157,0.011313,-38909.1193,-816293.1185,-7.4499,251.9509,0.012496,0.013297,231.1564,-103590.1001,-194529.5017,-400737.4611,-24.485,235.4626,-1762108.023,-155.2867,238.3892,0.01254,-3783258.73,0.024342,241.5537,-60287.1856,0.02232,21.9153,1.0
0.44583,0.66085,0.006824086,23.084,18.0573,45.4312,187.7494,2243.657,152.2141,3401.4709,30.6696,850.2446,398.7261,246.004,141.8169,8976.4395,530.3759,79.8314,4488.4308,1700.5938,108.3847,1088.259,2469.663237,1233.233624,674.2928811,3267.527013,0.012775,0.041319,0.037715,131.4197,-27935.6579,0.031007,-147.5028,0.016261,-40067.5087,-838786.9103,0.08095,253.7851,0.015875,0.017336,232.9906,-106553.8176,-200017.4205,-411917.2959,37.7002,237.4244,-1810294.212,-151.7543,240.4742,0.017759,-3886029.174,0.035743,243.3879,-62035.8448,0.011937,5.7517,1.0
0.36714,0.71199,0.006693036,23.753,17.9924,45.4218,188.9878,2262.9611,152.2606,3424.418,30.8971,856.6153,401.6264,247.3907,141.8634,9036.5424,533.7757,80.3225,4515.5858,1713.0838,109.1429,1096.9676,2210.092597,1205.012396,634.0314868,3118.176246,0.013495,0.03152,0.026959,131.4662,-28190.8269,0.028775,-115.6092,0.021562,-40383.9513,-841692.9122,6.7045,254.0001,0.011861,0.013586,233.2055,-107096.4885,-200833.018,-413512.5441,-12.1301,237.6814,-1816518.668,-143.3761,240.7603,0.013402,-3899300.758,0.048075,243.6027,-62439.2111,0.017245,34.6343,1.0
0.36176,0.62901,0.006623612,26.489,18.0712,45.5463,189.4873,2267.1417,152.3573,3436.5755,30.9738,859.1313,402.6758,247.7904,141.9601,9069.1158,534.792,80.5293,4534.6787,1718.2618,109.4199,1100.6749,2749.204338,1186.320411,683.0342196,3112.315942,0.011047,0.032059,0.039864,131.5628,-28335.8898,0.022199,-246.7032,0.011256,-40605.4446,-847750.1216,-76.4211,254.4832,0.017955,0.013248,233.6888,-107802.1687,-202234.1089,-416404.7859,-57.315,238.1782,-1829492.996,-227.1162,241.2814,0.010968,-3926971.495,0.025738,244.086,-62819.4822,0.013618,-98.8344,1.0
0.71652,0.81029,0.007226883,7.254,17.2138,44.0557,181.7788,2180.8832,151.5927,3291.5081,29.8471,824.1959,386.4488,239.5554,141.1954,8685.4304,513.4794,77.2721,4336.4138,1647.9645,105.4189,1055.5383,2488.578468,1147.07239,468.3875629,3955.303835,0.014045,0.028612,0.031802,130.7982,-26863.1504,0.027229,-86.5946,0.013703,-38484.4215,-800973.6386,25.7251,251.0843,0.016602,0.015278,230.2889,-101948.15,-191071.8487,-393530.5746,30.4849,234.5894,-1729284.534,-108.8812,237.4777,0.018524,-3713229.039,0.024871,240.6863,-59457.7879,0.020392,54.0301,1.0
0.75672,0.73507,0.009677449,7.194,13.6937,34.1667,142.4401,1703.426,148.1416,2582.3354,23.3566,645.5057,302.7639,186.4061,137.7444,6814.5812,402.3759,60.547,3405.2447,1291.088,82.739,825.5395,2393.936878,1215.341781,592.5682545,3967.050874,0.017249,0.028858,0.040042,127.3472,-19748.5529,0.031849,-90.7326,0.018026,-28653.296,-619549.409,45.3435,235.2994,0.019807,0.017999,214.504,-77588.9356,-146564.0696,-303146.3012,47.4476,217.6202,-1340262.608,-96.7007,219.3357,0.017454,-2882853.673,0.040198,224.9017,-44811.0332,0.017552,52.3161,1.0
0.6648,0.77921,0.00718394,3.425,16.1077,37.9688,156.4371,1880.4393,147.6822,2694.2312,25.9452,686.5067,329.9405,217.4573,137.2798,7116.9945,464.7843,67.0955,3524.4567,1370.6836,96.0176,874.2514,2306.53349,1194.092048,545.7672356,3737.422798,0.01578,0.032941,0.027149,126.8821,-19072.0513,0.025352,-39.6435,0.013248,-27831.1907,-600516.7472,61.532,233.0866,0.016773,0.018224,212.1808,-75521.7923,-142632.5924,-295288.9344,45.1951,215.3009,-1299325.674,-78.0262,216.7622,0.015197,-2793887.557,0.02318,222.5955,-43568.107,0.016459,98.4997,1.0
0.4662,0.67313,0.007371105,19.116,17.2685,43.5205,180.9425,2164.2082,151.6992,3284.4724,29.5684,820.7694,384.5524,236.4329,141.3019,8668.1956,510.3848,76.8998,4336.6178,1641.6113,104.4056,1052.1558,2221.137857,1352.338716,597.0531046,3274.395688,0.012295,0.034424,0.041236,130.9047,-26877.0306,0.024478,-159.1938,0.016778,-38554.8187,-807303.0858,-9.47,251.218,0.018367,0.016272,230.4235,-102510.5662,-192413.5087,-396348.5639,-0.64108,234.6919,-1742847.377,-156.6983,237.5844,0.011764,-3742176.017,0.035579,240.8207,-59697.2091,0.019124,-16.2137,1.0
0.47446,0.62426,0.006776156,23.072,17.8803,45.1075,187.5747,2241.6777,152.2786,3405.4227,30.6476,850.6654,398.6139,244.9871,141.8814,8987.7571,529.174,79.7024,4497.8116,1701.5239,108.2069,1089.9971,2283.369711,1329.57348,605.9428457,3330.553058,0.017662,0.039673,0.036403,131.4842,-28041.9554,0.033544,-106.6072,0.02165,-40222.4423,-842821.9145,11.8013,254.0903,0.018328,0.019969,233.2954,-107021.4633,-200937.795,-413812.7366,-7.0413,237.7327,-1818936.762,-138.2344,240.799,0.013396,-3904455.014,0.039957,243.6927,-62300.0964,0.021007,43.1949,1.0
0.56243,0.62982,0.006642625,22.266,18.0399,45.4943,189.2949,2261.9618,152.4266,3436.9683,30.9384,858.4783,402.2714,247.3338,142.0294,9071.0983,533.9567,80.4407,4539.7003,1717.1741,109.3117,1099.9593,2306.426697,1355.202945,614.1762786,3307.894025,0.010635,0.031681,0.027836,131.6322,-28333.9342,0.021635,-101.676,0.016996,-40646.1156,-852139.9374,25.2314,254.8326,0.014098,0.014874,234.0377,-108198.5022,-203165.9941,-418388.3226,19.4763,238.5175,-1838894.724,-125.5052,241.6266,0.013278,-3947013.781,0.035577,244.4349,-62971.8972,0.021635,48.6989,1.0
0.46038,0.60863,0.005820732,23.641,19.0762,48.0324,199.6127,2386.812,153.1595,3619.9654,32.6238,904.7767,424.136,260.9644,142.7623,9553.2303,563.5192,84.8341,4777.3843,1809.6368,115.1669,1158.6968,2678.065282,1121.59864,690.9035785,4110.419537,0.013321,0.025526,0.031963,132.3651,-30148.2639,0.029266,-125.0536,0.015509,-43166.7052,-899781.82,7.2543,258.5634,0.015166,0.012988,237.7689,-114528.9319,-214814.6103,-442102.4298,-20.5723,242.5155,-1940918.258,-147.2466,245.8782,0.015811,-4164545.401,0.030245,248.1662,-66753.6757,0.020198,29.4647,1.0
0.43513,0.61289,0.005805192,25.301,19.107,48.1458,200.2588,2395.5935,153.1827,3629.7689,32.7383,907.5427,425.4966,262.051,142.7855,9578.6763,565.3294,85.1172,4787.9682,1815.0855,115.5996,1162.0273,2627.79362,1200.32956,684.0394336,3806.775119,0.019792,0.025139,0.031196,132.3883,-30197.0631,0.042857,-134.2617,0.013574,-43240.3588,-901327.0024,7.21,258.6821,0.01543,0.012928,237.8876,-114730.6596,-215181.2547,-442886.6251,21.3691,242.6451,-1944226.65,-147.3279,246.0093,0.013521,-4171598.568,0.026293,248.2849,-66868.3045,0.022728,20.2341,1.0
0.39889,0.60437,0.005837888,24.249,18.9908,47.8502,198.9697,2381.2614,153.0812,3608.6516,32.5225,902.2466,422.8529,260.2484,142.684,9523.1619,561.5464,84.5681,4761.293,1804.4584,114.8171,1156.082,2720.619253,1132.271131,695.4980887,4130.024659,0.012984,0.02148,0.028782,132.2868,-30081.0397,0.026606,-157.9624,0.014903,-43037.3134,-894565.1679,-33.6473,258.1598,0.015188,0.011823,237.3654,-113982.8382,-213645.2284,-439637.2066,-18.2388,242.105,-1929748.719,-187.8637,245.4568,0.014286,-4140734.166,0.027062,247.7626,-66491.1529,0.018554,-3.6793,1.0
0.69379,0.66429,0.009104241,13.831,15.8982,40.0546,166.315,1989.9325,150.389,3015.5009,27.1881,753.944,353.4215,217.8119,139.9918,7957.8222,469.6374,70.705,3978.5293,1507.8787,96.007,965.679,2501.232011,910.7400221,528.7586345,2861.265277,0.023139,0.04257,0.060866,129.5946,-24142.6298,0.0475,-173.7681,0.018476,-34731.4377,-732376.8947,-49.3301,244.9265,0.028675,0.020066,224.1321,-92698.1712,-174224.2859,-359282.4124,-26.8713,227.9874,-1582269.097,-190.5795,230.4548,0.020189,-3399568.762,0.039502,234.5293,-53887.8639,0.035266,-32.7866,1.0
0.62249,0.64823,0.007782401,17.369,19.426,46.5419,193.2497,2319.3907,151.5851,3401.0285,31.8742,859.7566,408.8849,262.1114,141.1858,8975.0169,562.0095,82.5912,4449.0582,1717.7641,115.825,1089.8503,2046.984629,844.8489011,520.5188847,2801.27944,0.020497,0.045912,0.062735,130.7884,-26394.5493,0.044465,-50.8705,0.025371,-38064.8861,-801421.5011,80.1287,251.531,0.028496,0.022234,230.6204,-101759.8101,-191251.5203,-394411.6803,61.2299,234.9687,-1730202.117,-96.1008,237.6525,0.017751,-3714450.987,0.056539,241.0361,-59104.0971,0.02926,117.871,1.0
0.59772,0.64326,0.00815993,17.581,19.8348,46.5082,192.6618,2312.7845,151.3176,3368.118,31.8034,853.3995,407.1829,262.7353,140.9175,8890.1961,563.7581,82.3967,4404.0955,1704.7367,116.1524,1082.4349,2524.207686,903.322809,541.9708101,2864.205989,0.025805,0.058085,0.071231,130.52,-25796.3764,0.058394,-45.8355,0.023247,-37256.3792,-786020.4042,81.7836,250.2961,0.032249,0.026831,229.36,-99741.31,-187564.6264,-386968.032,71.84,233.61,-1697184.548,-91.3841,236.1554,0.019677,-3643724.251,0.050677,239.7819,-57889.752,0.032941,121.1948,1.0
0.26212,0.66846,0.005138503,24.058,19.9472,50.2147,208.8233,2499.4224,153.7745,3785.3604,34.1426,946.6226,443.7527,273.4497,143.3773,9989.3808,589.6468,88.7626,4993.8275,1893.1485,120.7146,1212.5364,2546.617245,1204.506346,577.9882193,3044.19792,0.011646,0.029962,0.031757,132.9801,-31895.0064,0.026178,-112.0091,0.023343,-45552.1073,-941793.802,25.0467,261.7647,0.016144,0.015386,240.9702,-120297.9566,-225237.2859,-463155.3466,23.8158,245.9668,-2030857.914,-132.9534,249.5754,0.015571,-4356255.826,0.045458,251.3674,-70268.1824,0.019955,45.9738,0.0
0.33526,0.64898,0.006607654,20.883,19.8872,50.0405,208.0133,2489.869,153.7044,3770.107,34.0018,942.8777,442.0328,272.3235,143.3072,9949.1236,587.5727,88.4149,4973.5803,1885.6356,120.1311,1207.5821,2528.344432,1199.841112,583.5872685,3052.182855,0.011686,0.029788,0.02346,132.91,-31760.913,0.023839,-103.8881,0.01637,-45351.0372,-936911.9646,30.1613,261.3975,0.011375,0.013958,240.603,-119700.1216,-224089.93,-460777.8397,28.1438,245.582,-2020407.935,-127.5515,249.1736,0.012079,-4333982.913,0.03166,251.0002,-69936.3459,0.011495,53.7099,0.0
0.46658,0.67496,0.006772626,19.645,19.6602,49.5559,205.9271,2466.5353,153.5662,3733.8347,33.6523,933.9336,437.6656,269.2095,143.169,9853.1216,581.0406,87.5183,4924.0229,1867.7213,118.8438,1197.0789,2565.191469,1179.520943,588.7673238,3196.519069,0.01083,0.025292,0.020273,132.7718,-31340.823,0.021944,-124.3923,0.012924,-44784.1203,-927351.3492,-5.6399,260.6732,0.0096665,0.012484,239.8786,-118350.4003,-221655.8451,-455955.8012,-13.5473,244.7962,-1999942.107,-162.2094,248.3157,0.011804,-4290361.375,0.023388,250.2758,-69109.9484,0.012624,32.5435,0.0
0.52028,0.74807,0.007427449,14.545,17.3533,43.6306,181.1975,2167.7723,151.6811,3285.3385,29.6119,821.3772,385.0463,236.9811,141.2839,8669.9289,511.6959,77.0114,4334.5611,1642.7543,104.5534,1051.9256,2509.655657,1005.997522,568.5138755,3334.269836,0.016761,0.030296,0.033133,130.8867,-26800.4751,0.031574,-183.3317,0.015324,-38462.9049,-806217.6809,-34.9042,251.131,0.016043,0.015481,230.3366,-102329.7665,-192125.3996,-395818.8216,-24.2523,234.6006,-1740521.944,-181.9238,237.4766,0.016705,-3737217.039,0.032616,240.7338,-59572.132,0.01905,-35.8787,1.0
0.41361,0.75192,0.007285737,16.195,17.4453,43.9097,182.7196,2185.5803,151.8086,3312.7413,29.8723,828.1761,388.2722,239.0692,141.4114,8742.304,515.9872,77.6614,4371.1296,1656.3592,105.5868,1060.427,2782.225388,1006.474881,652.7802218,3494.774232,0.014025,0.025869,0.030295,131.0142,-27069.3558,0.029794,-216.2302,0.015795,-38843.4221,-813891.7001,-62.4686,251.7557,0.01504,0.013653,230.9613,-103334.8738,-193993.3106,-399617.254,-17.1919,235.2665,-1756963.346,-210.1818,238.186,0.015894,-3772286.585,0.030186,241.3585,-60160.9795,0.019869,-64.0492,1.0
0.47103,0.68639,0.007219309,18.661,17.5281,44.2249,184.0817,2202.6077,151.89,3334.1436,30.103,833.8955,391.1084,240.758,141.4928,8798.1897,520.0394,78.2322,4396.1072,1667.7316,106.3418,1067.1649,2921.195984,1192.104053,885.5253383,3937.69991,0.011964,0.029536,0.028678,131.0956,-27199.4287,0.026886,-127.9976,0.014201,-39041.9801,-818834.2889,-0.66075,252.1589,0.014801,0.01359,231.3644,-103916.1376,-195132.9348,-402039.6645,24.6081,235.6918,-1767552.067,-148.3761,238.6192,0.013054,-3794870.009,0.030517,241.7616,-60484.5125,0.018993,20.0915,1.0
